00-00	SATIIN CAA CHAURUATANE QUE NENACAAURU CACHAAURU RAl RAUHI
00-01	Satiin, cachaauru raite ne rauhi. Nii jaun, nainihei chaque ereein nihacane jaannu, jiniiquiin, raotojoeein, ita cailichanaa coauquelanaala, rauhij iriin nenaa j erichaache ne. Nitohanai coitucuhin neniha cachaauruna jaunte, ita cailichairiin nihane, ichaoore cachaauru. Nii jaunna, neruujiha saain, itolere cachauru ne jerichaanu; itolere raotojoeein ichaohin aúiihaneein, niicha esenetai esenetaain, niicha coacui que ereerejeein, naojoaain niha cachaauru ne jerichaanu.
00-02	Saain acaauru cachaauru coroatajanemii, saain itolere gobiernooru, nabana aiha nejerateein, naojoaain niha rai cachaauru ne coataa.
00-03	Caohachaain ita coaraain, naaojoaain neeuruhine leeocha gobierno aina itolere caa chauruatane sacutaain nenacaauru gobiernooru.
00-04	"Caohatoha naain jeriha laurilaurichuru nenacaauru gobierno, caa canaacaanu aitoojoan que na jaun, uain caohachaain cachaauru coroataj anecurumii te, caoachaain neruujueein neeuruhine.
00-05	"Caohatoha carai," naain ereeuri gobiernooru, esiahen rauhijiriin, caa aitocoaanu ne rijijieein tonoraain ichacurumiite raotojoeein jianacoo nenaa nainecurumii, saain rai cachaauru.
00-06	Nii jaun te, caohachae saain itolere neein coitucuuruha saain cachaauru ne caohachae, rauhij iriin ichacuruhane coina.
00-07	CARITIIN TE AlTUCURE LAURILAURICHURU CAJE UNACAURU CURAANAACURU ITA TAOJIAIN
00-08	Nii jaun, itolere sacutaain cachaauru relauruhinete, coitucuhin, "Naojoaain te chuisi ne cana rai rauhi," naain coticuuruhine cachaauru laurilaurichuru nenacaauru. Nitohaneeinte, jeraaen cuujuein nitohaniha cureein.
01-00	Articulo 1.
01-01	Ita rijiicha itolere cacha. Aihana jaun, ita belaain, naojoain neuruhine laurilaurichuru nenacaauru aina itolere cachaauru.
02-00	Articulo 2.
02-01	Satiin cachauru raite ne, jericha nejeein acaauru rai rauhi, ita jeloon cuhin. Nii jaun, nihei chatohaneein, jichojoai, bacauha, ijiaen, jorio, batirichuru, coriqui neba, cailichai cacha, cocoamo, shipibo, acoarona, saain niichuru te jericha nejeein ne, acauru rai rauhi.
03-00	Articulo 3.
03-01	Aihana jaunte ne, satiin cachaauru rai rahui, raotojoeein rerohecaeraelanaala, jerihane tocohaneein ichaoha cacha ne coina.
04-00	Articulo 4.
04-01	Aihana jaun, nijiaonriha atebihaen rai cha que erenaa rijitiin, namute cacha letoain niha cachaaurune.
05-00	Articulo 5.
05-01	Jiaonriha chunei cacha cunaitain, naojoain neeuruha cocoainanacaihurine.
06-00	Articulo 6.
06-01	Cha rijijiein teein ti neseeu nenacaauru que suujua acateein caohachaain raaure. Nii rijijiein chu joaenreein nirljleln nenacaauru cachaauru- nuna cocoaicha naojoain que suujua acateein caohachaain coaraain naojoain neeuruhine cocoainanacaihuri.
07-00	Articulo 7.
07-01	Joaenreein cacha, niha acaauru rai chatohanai ine, cocoainanacaihuri rai ereeuruhinete, acaauru coroatajanemii cocoainanacaihuri te aitoha caa rauhi ne riJlJleln neine cachaauru rai rauhi.
08-00	Articulo 8.
08-01	Rauhijiriin caa erenaa tonoraain ichacureniha cocoainanacaihurine acaaru curaanaa rai beeuruhine cachaaurute, rucuecuruhine acaauru aina acaauru curaanaa.
09-00	Articulo 9.
