00-00	Àllgemeini Erklärùng vùn de Menscherachte
00-01	Wil d’Fréiheit, d’Gerachtichkeit ùn de Frìdde ùff de Walt sich ùff d’Ànerkannùng vùn de Wìrde stìtze, wie ìn àlle Litt vùn de Menschefàmìli zükùmmt, sowie ùff ìhri gliche ùn ùnverüsserliche Rachte,
00-02	Wil ’s do, wo mr d’Menscherachte nìt gekannt ùn nìt reschpektìert het, zü ùnmenschliche Tàte gebroocht het, wie s Gewìsse vùn de gànze Menschheit revoltìere, ùn wil ’s proklàmìert wùrre ìsch, àss de Mensch vor àllem ùff e néji Walt blàngt, wo d’Litt fréi sìnn, ze redde ùn ze gloewe wie se welle, ùn wo se vùn Schrecke ùn Not befréit sìnn,
00-03	Wil ’s notwandich ìsch, àss d’Menscherachte dùrich e Rachtssyschtem gschìtzt ware, fer àss de Mensch nìt gezwùnge wùrd, sich àls letschter Üsswaj gejje d’Tyrànnéi ùn d’Ùnterdrìckùng ze revoltìere,
00-04	Wil ’s notwandich ìsch, d’Entwìcklùng vùn de Frìndschàftsbezìjjùnge zwìsche de Nàtione ze ùnterstìtze,
00-05	Wil d’Vélliker vùn de Vereinte Nàtione ìn de Charta wìdder emol proklàmìert hàn, àss se àn d’Grùndrachte vùm Mensch gloewe, àn d‘Wirde ùn àn de Wart vùn de menschliche Parson ùn àn d’Glichheit vùn de Rachte vùn Mànn ùn Fräu, ùn wil se sich defìr entschìdde hàn, de soziàle Fùrtschrìtt ze férdere ùn besseri Lawesbedìngùnge mìtere greßere Fréiheit ze schàffe,
00-06	Wil d’Stààte, wie do mìtmàche, sich verpflìcht hàn, ìn Zsàmmeàrweit mìt de Orgànisàtion vùn de Vereinte Nàtione, ze sorje, fer àss d’Menscherachte ùn d’Grùndfréiheite àllgemein ùn tàtsachli reschpektìert ware,
00-07	Wil e gemeinsàmi Ùfffàssùng ìwwer dìe Rachte ùn Fréiheite vìehmaßi wìchtich ìsch, fer ìn dëre Verpflìchtùng gànz noochzekùmme,
00-08	Proklàmìert d’Generàlversàmmlùng:
00-09	Dìe àllgemeine Erklärùng vùn de Menscherachte ìsch s gemeinsàme Ideàl, wie àlli Vélliker ùn Nàtione ze erreiche hàn, fer àss e jeder Mensch ùn àlli Orgàne vùn de Gsellschàft, ùn dìs àllewil ìm Sìnn vùn dëre Erklärùng, sich ànstrange, dùrich de Ùnterrìcht ùn d’Erzìjjùng, de Reschpekt vor denne Rachte ùn Fréiheite ze entwìckle, ùn sich bemìehje, dùrich àls besseri Entscheidùnge ùff nàtionàler ùn ìnternàtionàler Ewwene, ìhri àllgemeine ùn guete Ànerkannùng ùn Reschpekt ze sìchere, ùn dìs so wohl ìn de Bevélkerùng vùn de Mìtglìedstààte salwer àls vùn de Gebìete, wie vùn denne Stààte regìert ware.
01-00	Àrtikel 1
01-01	Àlli Mensche kùmme mìt de gliche Wìrde ùn Rachte ùff d’Walt. Sie hàn àlli Vernùnft ùn Gewìsse ùn selle mìt Brìederlichkeit de àndere gejjenìwwer hàndle.
02-00	Àrtikel 2
02-01	E jeder Mensch kànn d’gànze Rachte ùn Fréiheite, wie ìn dëre Erklärùng stehn, fer sich verlànge, ùn dìs ohne jeder Ùnterschìed, ob vùn Ràss, Hüttfàrb, Gschlacht, Sproch, Religion, politischer odder egàl wellere àndere Meinùng, nàtionàler odder soziàler Harkùnft, Vermeeje, Gebùrt odder egàl wellere àndere Sitüàtion.
02-02	Üsserdam derf mr äu ken Ùnterschìed màche, wie àls Grùnd s politische, s rachtliche odder s ìnternàtionàle Stàtütt vùm Lànd odder vùm Gebìet het, wovùn e Parson stàmmt, egàl eb dìs Lànd odder dìs Gebìet ùnàbhangich ìsch, ùntereme Màndàt, nìt salbschtstandich odder ìn sinere Souveränität ùff egàl welli Àrt begranzt ìsch.
03-00	Àrtikel 3
03-01	E jeder Mensch het s Racht ùffs Lawe, d’Fréiheit ùn d’Sìcherheit vùn sich salwer.
04-00	Àrtikel 4
04-01	Mr derf nìemes ìn Sklàveréi odder ìn Knachtschàft hàlte; d’Sklàveréi ùn de Sklàvehàndel sìnn ìn àlle ìhre Forme verbotte.
05-00	Àrtikel 5
05-01	Mr derf nìemes foltere, odder gröisàm, ùnmenschlich odder ùnehrehàft strofe ùn bhàndle.
06-00	Àrtikel 6
06-01	E jeder Mensch het s Racht, ìwweràl àls rachtsfahich ànerkannt ze ware.
07-00	Àrtikel 7
07-01	D’Mensche sìnn àlli vorem Gsetz glich ùn hàn ohne Ùnterschìed s Racht, de salwe Schùtz vùm Gsetz ze hàn. Àlli hàn s Racht, gejje jedi Diskriminìerùng gschìtzt ze ware, wie dìe Erklärùng verletze tat, ùn gejje jedi Provozìerùng, wie zü so-n-ere Diskriminìerùng fìehre tat.
08-00	Àrtikel 8
08-01	E jeder Mensch het s Racht, vor de züstandiche nàtionàle Gerìchter e wìriksàmi Beruefùng ze màche, gejje d’Tàte, wie d’Grùndrachte verletze, wie ìhm dùrich d’Verfàssùng odder s Gsetz züstehn.
09-00	Àrtikel 9
09-01	Mr derf nìemes àrbiträr verhàfte, gfànge hàlte odder vùm Lànd verwise.
10-00	Àrtikel 10
10-01	E jeder Mensch het s Racht, ìn voller Glichheit, àss siner Fàll geracht ùn éffentlich voreme ùnàbhangiche ùn ùnpàrtéiische Gerìcht verhàndelt wùrd. Dìs Gerìcht tuet entwedder ìwwer sini Rachte ùn Pflìchte entschide, odder, eb d’strofrachtliche Ànkloej gejje ìhne berachticht sìnn.
11-00	Àrtikel 11
11-00	E jeder Mensch, wie vùnere strofbàre Tàt àngekloejt ìsch, gìlt àls ùnschùldi, bis àss sini Schùld gsetzlich noochgewìsse ìsch, noocheme éffentliche Prozass, wo mr gànz sìcher kànn sìnn, àss er àlli notwandiche Gàràntie het ghett, fer sich ze verteidiche.
11-01	Mr derf nìemes fer Sàche verùrteile, wie er gemàcht odder üssgelon het ùn wie ìm Momant, wie se pàssìert sìnn, noochem nàtionàle odder ìnternàtionàle Racht nìt strofbàr gewann sìnn. Genäu eso derf mr äu ke schlìmmeri Strof bekùmme, àls wie dìe, wie ìm Momant vorgsahn gewann ìsch, wie d’strofbàre Tàt gschahn ìsch.
12-00	Àrtikel 12
12-01	Ìn ëënem sin Privàtlawe, sini Fàmìli, sini Wohnùng odder sini Korreschpondanz derf sich nìemes àrbiträr ninmìsche, odder sini Ehr ùn siner guete Ruef verletze. E jeder Mensch het s Racht, gejje so-n-e Ninmìsche ùn so-n-e Steerùng vùm Gesetz gschìtzt ze ware.
13-00	Àrtikel 13
13-00	E jeder Mensch het s Racht, sich ìnnewandi vùme Stààt fréi ze beweje ùn siner Wohnsìtz ze schwàsìere.
13-01	E jeder Mensch het s Racht, egàl was fer e Lànd ze verlon, äu sin eijenes, ùn speter ìn sin Lànd zerùck ze kùmme.
14-00	Àrtikel 14
14-00	E jeder Mensch het s Racht, wànn er verfolligt wùrd, Àsyl ìn àndere Lander ze sueche ùn ze genìeße.
14-01	Ùff dìs Racht kànn mr sich nìt beruefe, ìm Fàll vùn regelracht berachtichte Ànklaj waje Verbrache vùm gemeine Racht odder waje Màcheschàfte, wie d’Zìele ùn d’Grùndsatz vùn de Vereinte Nàtione verstoße.
15-00	Àrtikel 15
15-00	E jeder Mensch het s Racht, e Nàtionàlität ze hàn.
15-01	Mr derf ìn keinem sini Nàtionàlität àrbiträr wagnamme ùn äu nìt sin Racht, d’Nàtionàlität ze wachsle.
16-00	Àrtikel 16
16-00	Üssgewàchseni Manner ùn Fräue hàn s Racht, ze hirote ùn e Fàmìli ze grìnde, ohne jedi Bschrankùng, wàs d’Ràss, d’Nàtionàlität odder d’Religion ànbelàngt. Sie hàn d’namliche Rachte àn de Hochzitt, ìm Ehstànd ùn bi de Scheidùng.
16-01	D’Eh derf nùmme gschlosse ware, wànn beidi Hochzitter fréi ùn vollstandi demìt inverstànde sìnn.
16-02	D’Fàmìli ìsch de nàtirliche Grùndstein vùn de Gsellschàft ùn sie het s Racht, vùn de Gsellschàft ùn vùm Stààt gschìtzt ze ware.
17-00	Àrtikel 17
17-00	E jeder Mensch, ellein sowie mìt àndere zsàmme, het s Racht ùff Eijetùm.
17-01	Ìn keinem derf mr sin Eijetùm àrbiträr wagnamme.
18-00	Àrtikel 18
18-01	E jeder Mensch het s Racht, sini Gedànke-, Gewìssens- ùn Religionsfréiheit ze hàn; Dìs wìll äu heisse, àss e jeder Mensch d’Fréiheit het, sini Religion odder sini Waltànschäuùng ze andere, sowie sini Religion odder sini Waltànschäuùng ze erlawe, ellein odder mìt àndere Litt, privàt odder éffentlich, ùn dìs dùrichs Lehre, d’Brich, de Gottesdìenscht ùn d’Üssfìehrùng vùn Ritüàle.
19-00	Àrtikel 19
19-01	E jeder Mensch het s Racht, e fréji Meinùng ze hàn ùn sie fréi üsszedrìcke. Mr derf àlso äu nìemes waje sine Meinùnge plöje. Do debi meint mr äu s Racht, Informàtione ùn Idee ze sueche, ze bekùmme ùn ze verbreite, dùrich égàl wàs fer Medie ùn ohne sich àn de Stààtsgranze ze hàlte.
20-00	Àrtikel 20
20-00	E jeder Mensch het s Racht, sich frìddli mìt Àndere ze versàmmle ùn e Verein ze grìnde.
20-01	Nìemes kànn mr zwìnge, zueme Verein ze gheere.
21-00	Àrtikel 21
21-00	E jeder Mensch het s Racht, d’éffentliche Àngelajeheite vùn sim Lànd mìtzelanke, entwedder direkt salwer odder dùrich fréi gewählti Vertratter.
21-01	E jeder Mensch het s Racht, e glicher Zügàng ze de éffentliche Amter ìn sim Lànd ze hàn.
21-02	De Wìlle vùm Vollik ìsch d’Grùndloej vùn de Äutorität vùn de éffentliche Gewàlt; Dër Wìlle muess sich dùrich ehrlichi Wàhle üssdrìcke, ùn dìe Wàhle mìen regelmaßi stàttfìnde, noocheme gliche ùn àllgemeine Wàhlracht ùn mìt gheimer Stìmmàbgàb, odder noochem àndere Verfàhre, wie genäu eso fréji Wàhle gàràntìert.
22-00	Àrtikel 22
22-01	E jeder Mensch het, àls Mìtglìed vùn de Gsellschàft, s Racht ùff Soziàlversìcherùng. E jeder Mensch derf verlànge ùn drùff kùmme, sini wìrtschàftliche, soziàle ùn kültürelle Rachte ze genìeße. Die sìnn notwandi, fer wìrdi ze lawe ùn sini Parsenlichkeit ze entwìckle. Dìs àlles gelìngt dùrich nàtionàli Ànstrangùnge ùn ìnternàtionàli Zsàmmeàrweit, wo mr äu ùff d’Orgànisàtion ùn d’Mìttel vùn jedem Lànd àcht.
23-00	Àrtikel 23
23-00	E jeder Mensch het s Racht, e Àrweit ze hàn, sini Àrweit fréi ze schwàsìere, gerachti ùn ordentlichi Àrweitsbedìngùnge ze hàn ùn gejje d’Àrweitslosichkeit gschìtzt ze sìnn.
23-01	Àlli Mensche hàn ohne welli Diskriminìerùng s Racht, de salwe Lohn fer d’salb Àrweit ze krìeje.
