00-00	EWIADEAMRA NOLOBƆLƐ MƆƆ FALE SONLA NWO ADENLENYIANLƐ NE MƆ LA ANWO
00-01	Wɔ mekɛ ala mɔɔ Maanle Maanle mɔɔ wɔ Eku ye anu la gyinlabelɛ nee pɛpɛzɛlɛ nee anwoadenlenyianlɛ a fa atianwolilɛ, pɛpɛlilɛ nee anzondwolɛ ba ewiade anu la,
00-02	Wɔ mekɛ ala mɔɔ menli ɛmbu sonla nwo adenlenyianlɛ ne mɔ bie amaa ɔlua zo nyɛleɛ mgbane mgbane dɔɔnwo ɛsisi ɛmaa menli adwenle ɛzɛkye, nee ewiade ne mɔɔ ɛlɛba mɔɔ sonla biala banyia adenle aha edwɛkɛ biala mɔɔ ɔdaye ɔkulo, nee diedi biala mɔɔ ɔdaye ɔkulo kɛ ɔdie ɔdi na ɔnzulo la, ɛmaa bɛla ye ali kɛ, ɛhye a le awienvolɛma anyelazo kpole kpalɛ la,
00-03	Wɔ mekɛ ala mɔɔ ɔhyia, saa bɛnrɛhyɛ sonla bɛnrɛmaa ɔnrɛho ɔnrɛtia ɛsisilɛ nee atisesebɛyɛlɛ, kɛ ɔwɔ kɛ mɛla bɔ sonla nwo adenlenyianlɛ ne mɔ anwo bane la,
00-04	Wɔ mekɛ ala mɔɔ ɔhyia kɛ bɛmaa agɔnwolɛyɛlɛ wɔ Maanle Maanle avinli kɛnyia anyuhɔlɛ la,
00-05	Wɔ mekɛ ala mɔɔ Maamgbole Koyɛlɛ ne anu amra ɛva bɛ diedi mɔɔ wɔ sonla nwo adenlenyianlɛ ne mɔ, ye gyinlabelɛ nee ye dibilɛ nee mrenya nee mraalɛ adenlenyianlɛ pɛpɛ ne mɔ anu la ɛwula sonla nwo adenlenyianlɛ nwo mɛla ne mɔɔ bɛfɛlɛ ye "Kyata" (Charter) ne anu na bɛlie bɛdo nu kɛ bɛboa bɛamaa menli anyia anyuhɔlɛ nee tɛnlabelɛ kpalɛ wɔ atianwolilɛ bɔkɔɔ nu la,
00-06	Wɔ mekɛ ala mɔɔ Maanle Maanle mɔɔ wɔ Maamgbole Koyɛlɛ Eku ne anu nee Maamgbole Koyɛlɛ ne ɛbo ɛwɔkɛ kɛ bɛmaa awie biala anye azɔ sonla nwo adenlenyianlɛ nee atianwolilɛ ne mɔ na bɛali zolɛ kpalɛ la,
00-07	Wɔ mekɛ ala mɔɔ adenlenyianlɛ nee atianwolilɛ ɛhye mɔ anwo ndelebɛbo kpalɛ hyia kpole kpalɛ maa ɛwɔkɛbɔlɛ ne azolilɛ anzɛɛ munlililɛ ne la,
00-08	Ati, Kɛkala
00-09	MAAMGBOLE KOYƐLƐ AYIA NE
00-10	bɔ nolo kɛ
00-11	Ewiadeamra Nolobɔlɛ Mɔɔ Fale Sonla Nwo Adenlenyianlɛ Nwo Ɛhye
00-12	le debie ko mɔɔ yelie yedo nu yemaa awie biala nee Maanle biala, amaa awie biala nee Eku biala mɔɔ dahuu kɛva. Nolobɔlɛ ɛhye kɛzie ye adwenle nu la abɔ mɔdenle alua ngilehilelɛ nee ndetelɛ zo yeamaa nidi ara adenlenyianlɛ nee atianwolilɛ ɛhye mɔ anwo, na eza yealua ngɔzo ndenle zo, Maanle nee Maanle Maanle zo, yeaboa yeamaa menli mɔɔ wɔ Maanle Maanle mɔɔ wɔ Eku ne anu nee Maanle Maanle mɔɔ Eku ne sie bɛ la anu amra amuala alie ado nu kpalɛ na bɛali zolɛ kpalɛ.
01-00	Edwɛkɛkpɔkɛ 1
01-01	Menli muala di bɛ ti anwo na eza noko bɛsɛ wɔ dibilɛ nee adenlenyianlɛ nu. Bɛlɛ ndwenlenwo nee adwenle, yemɔti ɔwɔ kɛ bɛkile adiemayɛlɛ bɛmaa bɛ nwo ngoko.
02-00	Edwɛkɛkpɔkɛ 2
02-01	Sonla ko biala lɛ adenle nyia adenlenyianlɛ nee atianwolilɛ ne mɔ mɔɔ bɛva bɛwula Sonla Nwo Adenlenyianlɛ Nwo Nolobɔlɛ ɛhye anu la amuala bie. Ɔnle kɛ ngakyile anzɛɛ ngilehilenu anzɛɛ nyeyenu biala mɔɔ fale menli ekpunli, menli ngakyile, nrenya anzɛɛ raalɛ, aneɛ, Nyamenlezonlenlɛ, maanyɛlɛ anzɛɛ adwenle bie, Maanle anzɛɛ menli abohilelɛ, agyapadeɛ, awolɛ anzɛɛ gyinlabelɛ gyɛne biala anwo la bie ba.
02-02	Eza noko ɔnke kɛ bɛkile ngakyile anzɛɛ nyeyenu biala wɔ maanyɛlɛ, mɛlazolilɛ nu, anzɛɛ maanle zo gyinlabelɛ nu wɔ maanle ne anzɛɛ ɛleka mɔɔ sonla ne de la anu. Saa maanle ne di ɔ ti anwo o, saa maanle gyɛne a nea zo o, saa ɔnli ɔ ti anwo o, ɔnle kɛ ngakyile anzɛɛ ngilehilenu biala ba nu.
03-00	Edwɛkɛkpɔkɛ 3
03-01	Ɔwɔ kɛ awie biala nyia ngoane, fanwodi nee sonla nwo banebɔlɛ.
04-00	Edwɛkɛkpɔkɛ 4
04-01	Ɔnle kɛ bɛyɛ awie biala kanra. Ɔwɔ kɛ bɛtua aanrayɛlɛ nee aanra ɛdɔnelɛ wɔ adenle biala anu.
05-00	Edwɛkɛkpɔkɛ 5
05-01	Ɔnle kɛ bɛkile awie biala nyane anzɛɛ bɛyɛ ye atisesebɛ, amumuyɛ anzɛɛ bɛgua ɔ nyunlu aze anzɛɛ bɛtwi ɔ nyunlu.
06-00	Edwɛkɛkpɔkɛ 6
06-01	Kɛ mɔɔ mɛla se la, ɛleka biala mɔɔ awie biala lua la ɔwɔ kɛ bɛnwu kɛ ɔdaye ɔle sonla.
07-00	Edwɛkɛkpɔkɛ 7
07-01	Kɛ mɔɔ mɛla se la, menli kɔsɔɔti sɛ pɛpɛ mɔɔ ɔnle kɛ ngakyile anzɛɛ ngilehilenu biala ba mɛla ne mɔɔ bɔ bɛ nwo bane pɛpɛ la anu. Menli kɔsɔɔti lɛ adenle nyia bɛ nwo banebɔlɛ pɛpɛ mɔɔ ko tia ngilehilenu anzɛɛ nyeyenu mɔɔ tia Nolobɔlɛ ɛhye nee debie biala mɔɔ maa zɛhae nyeyenu ne adenle la.
08-00	Edwɛkɛkpɔkɛ 8
08-01	Sonla biala lɛ adenle kɛ saa awie yɛ debie mɔɔ tia anwoadenlenyianlɛ ne mɔ mɔɔ maamulɛ nwo mɛla anzɛɛ mɛla ɛva ɛmaa ye la a, ɔwɔ kɛ kɔɔto ne mɔ pepɛ die ye.
09-00	Edwɛkɛkpɔkɛ 9
09-01	Ɔnle kɛ bɛkye sonla, bɛfa sonla bɛsie anzɛɛ bɛye sonla bɛfi maanle ne anu wɔ mekɛ mɔɔ ɔtɛfonle mɛla anzɛɛ mɛla ɛmmaa adenle la.
10-00	Edwɛkɛkpɔkɛ 10
10-01	Wɔ awie biala adenlenyianlɛ nee ye gyima ne mɔ anwo adwenlevalɛ nwo anzɛɛ saa bɛka kɛ awie biala ɛyɛ ɛtane a ɔwɔ kɛ kɔɔto mɔɔ di ɔ ti anwo na ɔnli mɔguazo la di ye edwɛkɛ wɔ bagua nu.
11-00	Edwɛkɛkpɔkɛ 11
11-00	Sonla biala mɔɔ bɛkɛha kɛ yeyɛ ɛtane mɔɔ ɔdi kɛ bɛtwe ɔ nzo la lɛ adenle ka kɛ ɔnze edwɛkɛ ne anwo bie kyesɛ bɛdi ye edwɛkɛ wɔ bagua nu kɔɔto na kɔɔto ne bua ye fɔlɛ kɛ mɔɔ mɛla se la. Wɔ kɔɔto ɛkɛ ne ɔwɔ kɛ ɔnyia ninyɛne mɔɔ ɔfa ɔpepɛ ɔdie ɔ nwo la kolaa.
11-01	Ɔnle kɛ bɛbua sonla biala fɔlɛ wɔ nyɛleɛ ɛtane biala mɔɔ wɔ mekɛ mɔɔ ɔyɛle zɔhane nyɛleɛ ne la ɛnee ɔnle ɛtane mɔɔ ɔtia maanle anzɛɛ maanle maanle mɛla la anwo. Anzɛɛ ɔnle kɛ bɛtwe sonla ne anzo bɛmaa ɔtɛla mɔɔ bɛpɛ bɛdo ɛkɛ ne wɔ mekɛ mɔɔ ɔyɛle ɛtane ne la.
12-00	Edwɛkɛkpɔkɛ 12
12-01	Ɔnle kɛ menli fa bɛ nloa wulowula awie feabo, ye abusua, ye sua nu edwɛkɛ nu anzɛɛ ɔnle kɛ bɛkenga ye ahɛlata anzɛɛ bɛbɔ ye anyiemgba bɛsɛkye ye anyunlunyia. Sonla zɛhae lɛ adenle maa mɛla ne pepɛ die ye anzɛɛ bɔ ɔ nwo bane wɔ zɛhae akpɔsemadi ɛbɛla ne mɔ anwo.
13-00	Edwɛkɛkpɔkɛ 13
13-00	Sonla biala lɛ adenle ɔfi ɛleka mɔɔ ɔde la ɔkɔtɛnla ɛleka biala mɔɔ ɔkulo la.
13-01	Sonla biala lɛ adenle ɔfi maanle biala anu nee ye maanle nu ɔkɔ maanle gyɛne nu na ɔkola ɔsia ɔba ye maanle nu.
14-00	Edwɛkɛkpɔkɛ 14
14-00	Sonla biala lɛ adenle kɛ saa ɔlɛnwu amaneɛ wɔ ye maanle nu a ɔkola ɔnriandi ɔkɔ maanle gyɛne nu ɔmaa bɛmaa ye ɛleka ɔtɛnla anzɛɛ bɛbɔ ɔ nwo bane.
14-01	Saa amaneɛ ne mɔɔ ahenle ne ɛlɛnwu ye la ɛnvi anzɛɛ ɛnlua maanyɛlɛ ti anzɛɛ ye nyɛleɛ ne tia Maamgbole Koyɛlɛ mɛla ne nee ye bodane ne mɔ a, yemɔ maanle gyɛne ne ɛnlɛ adenle kɛ ɔkɛlie ye azie anzɛɛ ɔkɛbɔ ɔ nwo bane.
15-00	Edwɛkɛkpɔkɛ 15
15-00	Sonla biala lɛ adenle kɛ ɔyɛ ekulomani.
15-01	Ɔnle kɛ bɛbu ekulomani biala kɛ ɔle ɛyɛvolɛ la. Eza noko ɔnle kɛ bɛsi awie biala mɔɔ kpondɛ kɛ ɔkakyi ye ekulomaniyɛlɛ la adenle wɔ mekɛ mɔɔ mɛla ɛmmaa adenle la.
16-00	Edwɛkɛkpɔkɛ 16
16-00	Mrenya nee mraalɛ mɔɔ bɛkɛdwu agyalɛhɔlɛ la, saa bɛle duzu menli o, saa bɛvi duzu maanle nu o, anzɛɛ saa bɛkɔ duzu asɔne o, bɛlɛ adenle bɛgya bɛ nwo na bɛbɔ ɛdane. Bɛ mu nwiɔ bɛlɛ adenle pɛpɛ wɔ agyalɛ nwo, wɔ bɛ agyalɛ nee bɛ ewolebɔlɛ nu.
16-01	Ɔwɔ kɛ menli nwiɔ ne die to nu kolaa na bɛagya bɛ nwo.
