00-00	ИНСОН ҲУҚУҚЛАРИ УМУМЖАҲОН ДЕКЛАРАЦИЯСИ
00-01	Инсон оиласи барча аъзоларига ҳос бўлган қадр‐қиммат ҳамда уларнинг тенг ва ажралмас ҳуқуқларини тан олиш эркинлик, адолат ва ялпи тинчликнинг асоси бўлишини эътиборга олиб,
00-02	Инсон ҳуқуқларини менсимаслик ва оёқ‐ости қилиш одамзод виждонини ўртаётган ваҳшийларча қилмишларга олиб келганини ҳамда кишилар сўз ва маслак эркинлиги соҳиби бўлиб, қўрқув ва муҳтожликдан ҳоли бўлиб яшайдиган дунёни бунёд этиш одамларнинг нуфузли интилиши, деб эълон қилинганлигини эътиборга олиб,
00-03	Инсон сўнгги чора сифатида зулм ва истибдодга қарши исён қилиб бош кўтаришга мажбур бўлмаслигининг олдини олиш мақсадида инсон ҳуқуқларни қонун изми билан муҳофаза этилиши зарурлигини эътиборга олиб,
00-04	Халқлар ўртасида дўстона муносабатларни ривожлантиришга кўмаклашиш зарурлигини эътиборга олиб,
00-05	Бирлашган Миллатларнинг халқлари Уставда инсоннинг асосий ҳуқуқларни, қадр‐қиммати ва инсон шахснинг беназирлигига ҳамда эркаклар ва аёлларнинг тенг ҳуқуқлигига ўз ишончларини тасдиқлаганликларни ҳамда катта ҳуқуқ билан ижтимоий тараққиёт ва турмуш шароитини яхшилашга ёрдам беришга қарор қилганликларни эътиборга олиб,
00-06	Аъзо бўлган давлатлар Бирлашган Миллатлар Ташкилоти билан ҳамкорликда инсон ҳуқуқлари ва асосий эркинликларни ялпи ҳурмат қилиш ва риоя этишга ёрдамлашиш мажбуриятини олганликларни эътиборга олиб,
00-07	Ушбу ҳуқуқлар ва эркинликлар тусини ялписига тушуниб олиш мазкур мажбуриятни тўла‐тўкис бажарилиши учун жуда катта аҳамиятга эга бўлади.
00-08	Бош Ассамблея
00-09	Инсон ҳуқуқлари мазкур умумжаҳон декларациясини барча халқлар ва барча давлатлар бажаришига интилиши лозим бўлган вазифа сифатида эълон қилар экан, бундан муддао шуки, ҳар бир инсон ва жамиятнинг ҳар бир ташкилоти ҳамиша ана шу декларацияни назарда тутиб маърифат ва илм йўли билан ушбу ҳуқуқлар ва эркинликларнинг ҳурмат қилинишига ёрдам беришга интилишлари ҳамда миллий ва халқаро тараққийпарвар тадбирла йўли билан ҳам, ушбу ҳуқуқлар ва эркинликларнинг Ташкилотга аъзо бўлган давлатлар халқлари ўртасида ва мазкур давлатларнинг юрисдикциясидаги ҳудудларда яшаётган халқлар ўртасида ялписига ва самарали тан олинишига керак.
01-00	1‐модда
01-01	Барча одамлар эркин, қадр‐қиммат ва ҳуқуқларда тенг бўлиб туғиладилар. Улар ақл ва виждон соҳибидирлар ва бир‐бирларига биродарларча муомала қилишлари зарур.
02-00	2‐модда
02-01	Ҳар бир инсон, бирор бир айирмачиликсиз, ирқи, терисининг ранги, жинси, тили, дини, сиёсий эътиқоди ёки бошқа эътиқодларидан, миллий ёки ижтимоий келиб чиқишидан, мулкий аҳволи, қайси табақага мансублиги ва бошқа ҳолатларидан қатъи назар, мазкур Декларацияда эълон қилинган барча ҳуқуқлар ва эркинликлар соҳиби бўлиши керак.
02-02	Бундан ташқари, инсон мансуб бўлган мамлакат ёки ҳудуднинг сиёсий, ҳуқуқий ёки халқаро мақомидан қатъи назар, ушбу ҳудуд мустақилми, васийликдами, ўзини ўзи бошқарадими, ёки мустақиллиги бирор бир тарзда чекланганми, бундан қатъи назар сира айирмачилик бўлмаслиги керак.
03-00	3‐модда
03-01	Ҳар бир инсон яшаш, эркинлик ва шахсий дахлсизлик ҳуқуқига эгадир.
04-00	4‐модда
04-01	Ҳеч ким қулликда ёки қарамликда сақланиши мумкин эмас; қуллик ва қул савдосининг барча турлари тақиқланади.
05-00	5‐модда
05-01	Ҳеч ким азоб‐уқубатга ёки ваҳшийларча, инсонликка иснод бўлган ёки қадр‐қимматни хўрлайдиган муомала ва жазога мустаҳиқ бўлмаслиги керак.
06-00	6‐модда
06-01	Ҳар бир инсон, қаерда бўлишидан қатъи назар, ўзининг ҳуқуқ субъекти сифатида тан олиниши ҳуқуқига эгадир.
07-00	7‐модда
07-01	Барча одамлар қонун олдида тенгдир ва, сира айирмачиликсиз, қонун томонидан баббаравар муҳофаза этилиши ҳуқуқига эгадир. Барча одамлар мазкур Декларацияни бузадиган ҳар қандай камситишидан тенг муҳофаза қилиниш ҳуқуқига ва ана шундай камситишга гиж‐гижлашдан тенг муҳофаза қилиниш ҳуқуқига эгадирлар.
08-00	8‐модда
08-01	Ҳар бир инсон, мабодо унинг конституция ёки қонун бериб қўйган асосий ҳуқуқлари бузилгудек бўлса, нуфузли миллий суд томонидан ўз ҳуқуқларининг самарали тарзда тикланиши ҳуқуқига эгадир.
09-00	9‐модда
09-01	Ҳеч ким ўзбошимчалик билан қамалиши, ушланиши ёки қувғин қилиниши мумкин эмас.
10-00	10‐модда
