00-00	Mehen oiktuziden ühthine deklaracii
00-01	Ottes homaitusehe, miše mez’kundan kaikiden ühtnikoiden arvokahuden i ühthižiden oiktuziden tundustamine oma valdan, oiktuden, mirun alandusen; i
00-02	ottes homaitusehe, miše hondostamine i kacmatomuz’ mehen oiktuzihe tob varvaroiden tegoid, kudambad käregoitas mez’kundan mel’tundod, i mehiden suren tahton i takaindan om mugoman mirun tegend, kudambas mehil linneb sanavald, kacmusiden vald, ei linne varaidust i mairišt; i
00-03	ottes homaitusehe, miše tarbiž mehiden oiktuded kaita zakonan valdal, sen täht, miše mehele ei pidaiži lopuks libuda tiranijan i ahthištusen vasthapäi; i
00-04	ottes homaitusehe, miše tarbiž abutada sebrmeližiden kosketusiden kehitoitusele rahvahiden keskes; i
00-05	ottes homaitusehe, miše Ühthižrahvahiže mülüjad rahvahad vahvištoitiba käskkirjas ičeze uskondan mehiden päoiktuzihe, mehen personan arvokahudehe i mužikoiden da naižiden tazooiktudehe i pätiba abutada socialižele progressale i elon oloiden paremboitusele oldes surembas valdas; i
00-06	ottes homaitusehe, miše valdkundad-ühtnikad toivotiba abutada ühtes Ühthižrahvazkundanke ühthižes arvostandas i mehen oiktuziden i pävaldoiden kaičendas, tegendas; i
00-07	ottes homaitusehe, miše neniden oiktuziden ühthine el’genduz om lujas tärged niid täudes pidämižes,
00-08	Sur’ Assamblei,
00-09	ezitab necen mehen oiktuziden ühthižen deklaracijan kut tegend, kaikile rahvahile i valdkundoile, miše kaikutte mez’ i kaikutte ühthižkundan azjmehišt, kaiken pidädes meles necen deklaracijan, abutaižiba tedotelendal i opendusel arvostada nenid oiktuzid i valdoid i tegižiba rahvahaližil i keskrahvahaližil progressivižil tegoil ühthišt i effektivišt arvostust i pidäižiba kut Ühthižrahvazkundan valdoiden-ühtnikoiden, muga i toižiden tahoiden rahvahiden keskes, kudambad oma niiden jurisdikcijan al.
01-00	1. kirjutez
01-01	Kaik mehed sünduba joudajin i kohtaižin, ühtejiččin ičeze arvokahudes i oiktusiš. Heile om anttud mel’ i huiktusentund i heile tariž kožuda toine toiženke kut vel’l’kundad.
02-00	2. kirjutez
02-01	Tariž, miše jogahižel mehel oližiba kaik oiktuded i valdad, miččed oma nimitadud neciš deklaracijas, kacmata sihe mitte om mehen rass, hibjan muju, pol’, kel’, uskond, miččed oma politižed vai toižed kacmused, mitte om rahvahuz’ vai socialine sündund, mitte om elomišton, soslovijan vai toižed olod.
02-02	Paiči sidä, ei sa tehta nimittušt erod man vai sijan politižen, oiktuden vai rahvazkeskeižen statusan pohjal, kuna mez’ mülüb, ripmata sišpäi om-ik nece sija ripmatoi, pidetas-ik hol’t siš, ei ičenaine vai se kut-se toižin om vähetud ičenaižudes.
03-00	3. kirjutez
03-01	Jogahižel mehel om oiktuz’ eloho, valdaha i personaližehe koskmatomudehe.
04-00	4. kirjutez
04-01	Nikeda ei sa pidäda orjan vai valdmatomas olos, orjanpidänd i orjanmönd om kel’tüd kaikiš formiš.
05-00	5. kirjutez
05-01	Nikeda ei sa kovasüdaimelišesti mokita, kovin ustavzoitta, tehta mugomid tegoid, kudambad alenzoitaižiba hänen arvokahuden.
06-00	6. kirjutez
06-01	Jogahižel mehel om kaikjal oiktuz’ sihe, miše händast pidäižihe personan arvostuses.
07-00	7. kirjutez
