00-00	Адам хукукларының әхлиумумы Декларациясы
00-01	Баш ассемблея әхлиумумы парахатчылыгың, адалатлылыгың ве азатлыгың эсасы болуп дурян адамзат машгаласының агзаларының хеммесине махсус болан мертебесини, дең дереҗели ве айрылмаян хукукларыны гөз өңүнде тутуп,
00-02	адам хукукларына болан әсгермезлик этмегиң ве йигренҗиң адамзадың выҗданыны гахар‐газаба мүндүрйән вагшычылыклы херекете гетирмеклигини ве адамларың бейик ниетиниң ыглан эдиши ялы адамлар сөз ве пикир азатлыгына эе болуп, горкудан ве мәтәчликден азат болуп яшар ялы дүнйәни гурмаклыгы гөз өңүнде тутуп,
00-03	адам өзүниң иң соңкы серишдеси хөкмүнде залымлыга ве эзъет бермә гаршы сөвеше галмага меҗбур болмазлыгыны үпҗүн  эдер ялы адам хукукларыны кануның гүйҗүниң горамалыдыгыны гөз өңүнде тутуп,
00-04	Бирлешен Миллетлер Гурамасы өз Уставында адамың эсасы хукукларына, адамзат шахсыетиниң гымматына ве мертебесине, ве эркеклер билен аялларың дең хукугына болан ынамыны ыкрар этмегини ве гиңишлейин азатлыкда дурмуш шертлериниң говуланмагына ве социал өсүше ярдам этмек барадакы карарыны гөз өңүнде тутуп,
00-05	Бирлешен Миллетлер Гурамасының агзалары‐дөвлетлериң адам хукукларыны ве эсасы азатлыклары берҗай этмәге ве әхлиумумы хормат этмәге өз үстлерине алан борчларыны гөз өңүнде тутуп,
00-06	шол өзлерине алан борчлары долы ерине етирмекде шу хукукларың ве азатлыкларың хәсиетини әхлиумумы дүшүнмеклигиң улы әхмиетиниң бардыгыны гөз өңүнде тутуп,
00-07	хер бир адам җемгыетиң хер бир гурамасы хемише шу Декларация эсасланып, билим хем‐де ылым үсти билен шу хукуклара ве азатлыклара хормат гоймаклыга ярдам этмәге чалышмаклары үчин, ве милли хем‐де халкара прогрессив чәрелериң үсти билен, ве олары дөвлетлериң – Гураманың агзаларының халкларың арасында‐да, оларың юрисдикциясының астындакы халкларың чәгинде‐де әхлиумумы ве нетиҗели ыкрар этмеклери ве амала ашырмаклары үчин шу Адам хукукларының әхлиумумы Декларациясыны хемме халкларың ве дөвлетлериң ерине етирмәге чалышмалы везипеси хөкмүнде ыглан эдйәр.
01-00	1‐нҗи МАДДА
01-01	Хемме адамлар өз мертебеси ве хукуклары боюнча дең ягдайда дүнйә инйәрлер. Олара аң хем выҗдан берлендир ве олар бир‐бирлери билен доганлык рухундакы гарайышда болмалыдырлар.
02-00	2‐нҗи МАДДА
02-01	Хер бир адам шу Декларацияның ыглан эдйән хемме хукукларында ве азатлыкларындан җынсына, реңкине, аял‐эркеклигине, дилине, сыясы я‐да башга гарайышларына, милли я‐да социал гелип чыкышына, байлыгына, гатлагына я‐да башга ягдайына серетмезден дең дереҗеде пейдаланмалы.
02-02	Онданам башга адамың дегишли юрдуның я‐да ериниң гарашсыз, гөзегчилик астында, өзүни өзбашдак доландырмаян я‐да өзбашдаклыгың башга бир чәклендирилмек ягдайында болмагына серетмезден сыясы, хукук я‐да халкара статус эсасында тапавут гоюлмалы дәл.
03-00	3‐нҗи МАДДА
03-01	Хер бир адам яшамага, азатлыга ве шахсы элдегрилмесизлиге хукуклыдыр.
04-00	4‐нҗи МАДДА
04-01	Хич ким гулчулыкда я‐да табынлыкда сакланмалы дәлдир: гулчулык ве гул сөвдасы әхли гөрнүшинде гадаган эдилйәр.
05-00	5‐нҗи МАДДА
05-01	Хич ким гыналмага я‐да мертебесини кемсидйән рехимсиз, ынсаныетсиз гатнашыга ве җеза сезевар эдилмели дәлдир.
06-00	6‐нҗы МАДДА
06-01	Хер бир адам, хайсы ердедигине серетмезден, онуң шахсыетиниң хукугылыгының ыкрар эдилмегине хаклыдыр.
07-00	7‐нҗи МАДДА
07-01	Хемме адам канун өңүнде деңдир ве хич бир тапавутсыз кануны горага хаклыдыр.
08-00	8‐нҗи МАДДА
08-01	Хер бир адам Конституция я‐да канун тарапындан оңа берлен эсасы хукукларың бозулан ягдайында долы ыгтыярлы милли судлар тарапындан өз хукукларының дикелдилмегине хаклыдыр.
09-00	9‐нҗы МАДДА
09-01	Хич ким эсассыз туссаг эдилип, сакланылып я‐да ковулып билинмез.
10-00	10‐нҗы МАДДА
10-01	Хер бир адам өзүниң хукукларының ве борчларының аныкланылмагы үчин ве оңа гөркезилйән җенаят айыпламаның догрулыгыны аныкламак үчин гарашсыз, битарап суд тарапындан адалатлылыгың  хемме талапларына лайыклыкда долы деңлик эсасында өз ишине серетдирмәге хаклыдыр.
11-00	11‐нҗи МАДДА
11-01	Җенаят эденлиги барада айыпланян хер бир адам, тә оңа горанмага әхли мүмкинчиликлериң дөредилен ачык судуң серетмегинде онуң гүнәси канун эсасында аныкланянча, ол гүнәкәр дәл дийлип хасапланылмага хаклыдыр.
11-02	Хайсыдыр бир херекет эденлиги я‐да херекетсизлик эденлиги үчин шонуң эдилен дөврүнде милли канунлар боюнча я‐да халкара канунлар боюнча җенаят хасапланылмаян болса, хич ким соңра ол боюнча гүнәкәрчилиге чекилип билинмез. Шейле хем җенаятың эдилен дөврүндәкиден артыкмач җеза чәреси белленилип билинмез.
12-00	12‐нҗи МАДДА
12-01	Хич кимиң шахсы ве машгала дурмушына эсассыз аралашылып, онуң яшайыш җайының элдегрилмесизлигине, онуң хабар серишделериниң сырына я‐да онуң намысына ве абрайына эсассыз каст эдилип билинмез. Хер бир адам шейле аралашылмакдан ве каст эдилмекден канун тарапындан горага хаклыдыр.
13-00	13‐нҗи МАДДА
13-01	Хер бир адам хер бир дөвлетиң чәгинде бир ерден башга ере әркин эркин гитмәге ве өзүне яшамага ер сайлап тутмага хаклыдыр.
13-02	Хер бир адам ислендик юрды, шол санда өз юрдуны хем ташлап гитмәге ве өз юрдуна доланып гелмәге хаклыдыр.
14-00	14‐нҗи МАДДА
14-01	Хер бир адам ызарланылмакдан гачып, башга юртлардан гачыбаталга гөзлемәге ве шол гачыбаталгадан пейдаланмага хаклыдыр.
14-02	Сыясы дәл җенаят эдиленлиги үчин, я‐да Бирлешен Миллетлер Гурамасының максатларына ве принциплерине терс гелйән иш эденлиги үчин ызарланылян махалында бейле хак‐хукук уланылып билинмез.
15-00	15‐нҗи МАДДА
15-01	Хер бир адамың гражданлыга хакы бардыр.
15-02	Хич бир адам гражданлыкдан я‐да гражданлыгыны үйтгедип билмек хукугындан эсассыз махрум эдилип билинмез.
16-00	16‐нҗы МАДДА
16-01	Хер бир кәмиллик яшына етен эркек ве аял, җынс аламатларына, миллетине ве динине серетмезден хич бир пәсгелчиликсиз ягдайда никалашмага ве машгала гурмага хаклыдыр. Олар никалашян махалында‐да, никада дуран махалында‐да, никаны бозян махалын‐да дең дереҗели хукукдан пейдаланярлар.
16-02	Ника диңе никалашян тарапларың эркин ве долы ылалашмаклары эсасында гыйылып билинер.
16-03	Машгала җемгыетиң тебигы ве эсасы өйҗүги болуп, ол җемгыет ве дөвлет тарапындан горалмага хаклыдыр.
17-00	17‐нҗи МАДДА
17-01	Хер бир адам эмләге еке өзи‐де, башгалар билен билеликде‐де эечилик эдип билер.
17-02	Хич ким эсассыз ягдайда эмләгинден махрум эдилип билинмез.
18-00	18‐нҗи МАДДА
