00-00	ადამიანთა უფლებების საყოველთაო დეკლარაცია
00-01	ვინაიდან ადამიანთა ოჯახის ყველა წევრისათვის დამახასიათებელი ღირსების და თანასწორი და განუყოფელი უფლებების აღიარება წარმოადგენს თავისუფლების, სამართლიანობის და საყოველთაო მშვიდობის საფუძველს; და
00-02	ვინაიდან, ადამიანის უფლებათა უგულებელყოფამ და აბუჩად აგდებამ გამოიწვია ბარბაროსული აქტები, რაც აღაშფოთებს კაცობრიობის სინდისს, და რომ ისეთი მსოფლიოს შექმნა, რომელშიც ადამიანებს ექნებათ სიტყვისა და რწმენის თავისუფლება, და რომელშიც ისინი იცხოვრებენ შიშისა და გაჭირვების გარეშე, გამოცხადებულია ადამიანთა მაღალ მისწრაფებად,
00-03	ვინაიდან, აუცილებელია, რომ ადამიანის უფლებებს იცავდეს კანონი, იმის უზრუნველსაყოფად, რათა ადამიანი იძულებული არ გახდეს მიმართოს აჯანყებას, როგორც ტირანიისა და ჩაგვრის წინააღმდეგ უკანასკნელ საშუალებას,
00-04	ვინაიდან, აუცილებელია ხელის შეწყობა ერთა შორის მეგობრულ ურთიერთობათა განვითარებისათვის,
00-05	ვინაიდან, გაერთიანებული ერების ხალხებმა წესდებაში დაადასტურეს თავიანთი რწმენა ადამიანის ძირითადი უფლებებისადმი, ადამიანის პიროვნების ღირსებისა და ღირებულების და კაცებისა და ქალების თანასწორუფლებიანობისადმი და გადაწყვიტეს ხელი შეუწყონ სოციალურ პროგრესსა და ცხოვრების უკეთეს დონეს მეტი თავისუფლების პირობებში,
00-06	ვინაიდან, წევრმა ქვეყნებმა იკისრეს ვალდებულება გაერთიანებული ერების ორგანიზაციასთან თანამშრომლობით ხელი შეუწყონ ადამიანის უფლებათა და ძირითად თავისუფლებათა საყოველთაო პატივისცემასა და დაცვას,
00-07	ვინაიდან, ამ უფლებებისა და თავისუფლებების საყოველთაო გაგებას უდიდესი მნიშვნელობა აქვს ვალდებულებებისას მთლიანად შესრულებისათვის,
00-08	ამიტომ,
00-09	გენერალური ასამბლეა
00-10	აცხადებს
00-11	ამ ადამიანის უფლებათა საყოველთაო დეკლარაციას ისეთ ამოცანად, რომლის შესრულებას უნდა ესწრაფვოდეს ყველა ხალხი და ყველა სახელმწიფო, რათა ყოველი ადამიანი და საზოგადოების ყოველი ნაწილი ყოველთვის გაითვალისწინებს რა ამ დეკლარაციას, მიისწრაფვოდეს სწავლა-განათლების მეშვეობით ხელი შეუწყოს ამ უფლებათა და თავისუფლებათა პატივისცემას და მათი საყოველთაო და ეფექტიანი აღიარება-განხორციელების უზრუნველყოფას ეროვნული თუ საერთაშორისო პროგრესული ღონისძიებებით როგორც ორგანიზაციის წევრ სახელმწიფოთა, ასევე ამ სახელმწიფოების იურისდიქციას დაქვემდარებულ ტერიტორიათა ხალხებში.
01-00	მუხლი 1.
01-01	ყოველი ადამიანი იბადება თავისუფალი და თანასწორი თავისი ღირსებითა და უფლებებით. მათ მინიჭებული აქვთ გონება და სინდისი და ერთმანეთის მიმართ უნდა ექცეოდნენ ძმობის სულისკვეთებით.
02-00	მუხლი 2.
02-01	ამ დეკლარაციით გამოცხადებული ყველა უფლება და ყველა თავისუფლება მინიჭებული უნდა ჰქონდეს ყოველ ადამიანს განურჩევლად რაიმე განსხვავებისა, სახელდობრ, რასის, კანის ფერის, სქესის, ენის, რელიგიის, პოლიტიკური თუ სხვა რწმენის, ეროვნული თუ სოციალური წარმომავლობის, ქონებრივი, წოდებრივი თუ სხვა მდგომარეობისა.
02-02	გარდა ამისა, დაუშვებელია რაიმე განსხვავება იმ ქვეყნის თუ ტერიტორიის პოლიტიკური, სამართლებრივი ან საერთაშორისო სტატუსის საფუძველზე, რომელსაც ადამიანი ეკუთვნის, მიუხედავად იმისა ეს ტერიტორია - დამოუკიდებელი, სამეურვეო, არათვითმმართველი თუ სხვაგვარად შეზღუდულია თავის სუვერენიტეტში.
03-00	მუხლი 3.
03-01	ყოველ ადამიანს აქვს სიცოცხლის, თავისუფლებისა და პირადი ხელშეუხებლობის უფლება.
04-00	მუხლი 4.
04-01	არავინ არ უნდა იმყოფებოდეს მონობაში ან ძალმომრეობითი მორჩილების მდგომარეობაში. ყველა სახის მონობა და მონათვაჭრობა აკრძალულია.
05-00	მუხლი 5.
05-01	არავის მიმართ არ უნდა იქნეს გამოყენებული წამება ან სასტიკი, არაადამიანური, თუ მისი ღირსების დამამცირებელი მოპყრობა და სასჯელი.
06-00	მუხლი 6.
06-01	ყოველ ადამიანს, სადაც არ უნდა იმყოფებოდეს იგი, უფლება აქვს, რომ აღიარებულ იქნეს მისი სამართალსუბიექტობა.
07-00	მუხლი 7.
07-01	ყოველი ადამიანი თანასწორია კანონის წინაშე და განურჩევლად რაიმე განსხვავებისა, ყველას აქვს უფლება თანაბრად იყოს დაცული კანონის მიერ. ყველა ადამიანს აქვს უფლება თანაბრად იყოს დაცული ამ დეკლარაციის დამრღვევი ყოველგვარი დისკრიმინაციისაგან და ასეთი დისკრიმინაციის ყოველგვარი წაქეზებისაგან.
08-00	მუხლი 8.
08-01	ყველას ვისაც დაერღვა კონსტიტუციით ან კანონით მინიჭებული ძირითადი უფლებები, უნდა ჰქონდეს სამართლებრივი დაცვის ეფექტიანი საშუალება კომპეტენტური ეროვნული სასამართლოებისაგან.
09-00	მუხლი 9.
09-01	არავინ შეიძლება დაექვემდებაროს თვითნებურ დაკავებას, დაპატიმრებას ან გაძევებას.
10-00	მუხლი 10.
10-01	ყოველ ადამიანს, მის უფლება-მოვალეობათა და მისთვის წაყენებული სისხლის სამართლებრივი ბრალდებათა საფუძვლიანობის განსაზღვროსათვის , სრული თანასწორობის საფუძველზე, უფლება აქვს, მისი საქმე საჯაროდ და სამართლიანობის ყველა მოთხოვნის დაცვით განიხილოს დამოუკიდებელმა და მიუკერძოებელმა სასამართლომ.
11-00	მუხლი 11.
11-01	ყოველ ადამიანს, რომელსაც ბრალად ედება დანაშაულის ჩადენა, უფლება აქვს უდანაშაულოდ ითვლებოდეს მანამ, სანამ მისი დამნაშავეობა დადგენილი არ იქნება კანონის შესაბამისად საჯარო სასამართლო მიერ, რომლის დროსაც უზრუნველყოფილი იქნება დაცვის ყველა შესაძლებლობით.
11-02	არავის შეიძლება მსჯავრი დაედოს ისეთი მოქმედების ან უმოქმედობისათვის, რომელიც ჩადენის მომენტში არ წარმოადგენდა დანაშაულს ეროვნული ან საერთაშორისო სამართლის შესაბამისად. აგრეთვე, დაუშვებელია იმაზე უფრო მძიმე სასჯელის შეფარდება, ვიდრე გამოიყენებული იქნებოდა დანაშაულის ჩადენის დროს.
12-00	მუხლი 12.
12-01	არავის მიმართ არ შეიძლება თვითნებური ჩარევა მის პირადსა და ოჯახურ ცხოვრებაში, თვითნებური ხელყოფა მისი საცხოვრებელი ბინის ხელშეუხებლობის, მისი კორესპონდენციის საიდუმლოების ანდა მისი პატივისა და რეპუტაციისა. ყოველ ადამიანს აქვს უფლება დაცული იყოს კანონის მიერ ასეთი ჩარევისა თუ ხელყოფისაგან.
13-00	მუხლი 13.
13-01	ყოველ ადამიანს აქვს თავისუფლად გადაადგილებისა და ცხოვრების უფლება ყოველი სახელმწიფოს ფარგლებში.
13-02	ყოველ ადამიანს უფლება აქვს დატოვოს ნებისმიერი ქვეყანა, მათ შორის თავისიც, და დაბრუნდეს თავის ქვეყანაში.
14-00	მუხლი 14.
14-01	ყოველ ადამიანს უფლება აქვს დევნის საწინააღმდეგოდ სხვა ქვეყნებში ეძებოს და ისარგებლოს თავშესაფრით.
