00-00	УНИВЕРЗАЛНА ДЕКЛАРАЦИЈА ЗА ЧОВЕКОВИТЕ ПРАВА
00-01	Бидејќи признавањето на вроденото достоинство, и на еднаквите и неотуѓиви права на сите членови на човештвото се темелите на слободата, правдата и мирот во светот;
00-02	Бидејќи непочитувањето и омаловажувањето на човековите права резултираа со варварски постапки што претставуваат навреда на човековата совест и бидејќи создавањето на свет во кој луѓето ќе ја уживаат слободата на говор и убедување и ќе бидат ослободени од стравот од војна и сиромаштија, се прогласува како најголем идеал на сите луѓе;
00-03	Бидејќи е суштествено човековите права да бидат заштитени со закон, а човекот да не биде принуден последен излез да бара во побуната против тиранијата и угнетувањето;
00-04	Бидејќи е суштествено да се унапредува развојот на пријателските односи меѓу народите;
00-05	Бидејќи народите на Обединетите нации со повелбата ја потврдија нивната верба во основните човекови права, во достоинството и вредноста на човековата личност и во еднаквите права на мажите и жените и се одлучија да го потпомагаат општествениот напредок и подобрите животни стандарди во услови на поголема слобода;
00-06	Бидејќи земјите – членки се обврзаа да го издигнуваат универзалното почитување и следење на човековите права и слободи, во соработка со Обединетите нации;
00-07	Бидејќи општото разбирање на овие права и слободи е од најголемо значење за целосно спроведување на нивната заложба;
00-08	Сега, затоа,
00-09	Генералното собрание
00-10	Ја прогласува оваа Универзална декларација на човековите права како општ стандард, што треба да го достигнат сите луѓе и нации, и за таа цел секој поединец и секој орган на општеството секогаш, имајќи ја на ум оваа Декларација, ќе се стремат преку подучување и образование да го промовираат почитувањето на овие права и слободи и преку прогресивни национални и меѓународни мерки ќе обезбедуваат нивно општо и ефикасно признавање и почитување и меѓу народите на земјите – членки и меѓу народите на териториите под нивна јурисдикција.
01-00	Член 1
01-01	Сите човечки суштества се раѓаат слободни и еднакви по достоинство и права. Тие се обдарени со разум и совест и треба да се однесуваат еден кон друг во духот на општо човечката припадност.
02-00	Член 2
02-01	Сите права и слободи наведени во оваа Декларација им припаѓаат на сите луѓе, без оглед на нивните разлики, како што се: раса, боја, пол, јазик, религија, политичко или друго убедување, национално или општествено потекло, сопственост, раѓање, или друг статус.
02-02	Натаму, нема да се зема предвид политичкиот, правниот или меѓународниот статус на земјата или територијата на која и припаѓа лицето, без разлика дали земјата е независна, под старателство, без самоуправна власт или под каков и да е друг облик на ограничување на нејзиниот суверенитет.
03-00	Член 3
03-01	Секој има право на живот, слобода и сигурност.
04-00	Член 4
04-01	Никој нема да биде роб или потчинет; ропството и трговијата со робови ќе бидат забранети во сите нивни форми.
05-00	Член 5
05-01	Никој нема да биде подложен на тортура или на суров, нехуман или понижувачки третман или казна.
06-00	Член 6
06-01	Секој има право насекаде да биде признаен како личност пред законот.
07-00	Член 7
07-01	Сите луѓе се еднакви пред законот и на сите им припаѓа, без никаква дискриминација, еднаква заштита со закон. На сите им припаѓа еднаква заштита од каква и да е дискриминација, што е во спротивност на оваа Декларација и од какво и да е поттикнување на таква дискриманција.
08-00	Член 8
08-01	Секој има право на ефикасни правни лекови пред надлежните национални судови за дела што ги кршат основните права што му припаѓаат според уставот или законот.
09-00	Член 9
09-01	Никој човек нема да биде подложен на произволно апсење, притвор или прогонување.
10-00	Член 10
10-01	Секој има потполно еднакво право на праведно и јавно судење пред независен и непристрасен суд, при одредувањето на неговите права и обврски и во услови на какво и да е кривично обвинение против него.
11-00	Член 11
11-01	Секој обвинет за кривично дело има право да се претпоставува дека е невин се додека не се докаже неговата вина во согласнсот со закон и на јавно судење, на кое тој ги има сите гаранции неопходни за неговата одбрана.
11-02	Никој нема да се смета за виновен за кое и да е кривично дело поради дејство или пропуст, што не претставувале кривично дело според националното или меѓународното право во времето кога тоа било сторено. Исто така, не смее да се изрече казна поголема од онаа што се применувала во времето кога било сторено кривичното дело.
12-00	Член 12
12-01	Никој нема да биде изложен на произволно вмешување во неговиот приватен и семеен живот, домот или преписката, ниту пак на напади врз неговата чест и углед. Секој има право на правна заштита од таквото вмешување или напади.
13-00	Член 13
13-01	Секој има право на слобода на движење и живеалиште во рамките на границите на секоја држава.
13-02	Секој има право да ја напушти земјата, вклучувајќи ја и неговата сопствена земја, како и да се врати во својата земја.
14-00	Член 14
14-01	Секој има право во друга држава да бара и да ужива азил поради прогонување.
14-02	Луѓето не можат да се повикаат на ова право во случај на прогонување што произлегува од неполитички злосторства или од дејствија што се спротивни на целите и начелата на Обединетите нации.
15-00	Член 15
15-01	Секој има право на државјанство.
15-02	Никому не смее произволно да му биде одземено неговото државјанство, ниту пак ќе му се порекне правото да го промени државјанството.
16-00	Член 16
16-01	Полнолетните мажи и жени, без никакви ограничувања врз основа на расата, националноста или религијата, имаат право да стапат во брак и да основаат семејство. Ним им припаѓаат еднакви права пред бракот, за време на бракот и по неговото раскинување.
16-02	Бракот ќе се склучи само со слободна и целосна согласност на идните брачни другари.
16-03	Семејството е природна и основна ќелија на општеството и има право на заштита од страна на општеството и државата.
17-00	Член 17
17-01	Секој човек има право на сопственост, како самостојно, така и заедно со други.
17-02	Никој нема да биде произволно лишен од неговата сопственост.
18-00	Член 18
18-01	Секој има право на слобода на мислата, совеста и религија. Ова право ја вклучува и слободата – човекот да ја промени својата религија или убедување, како и слободата – човекот, индивидуално или во заедница со други луѓе, приватно или јавно, да ја манифестира својата религија или убедување преку подучување, практикување, одржување служби или обреди.
19-00	Член 19
19-01	Секој има право на слобода на мислење и изразување. Ова право ја вклучува и слободата да се застапува одредено мислење без никакво вмешување и да се бараат, да се примаат и да се даваат информации и идеи преку медиумите и без оглед на границите.
20-00	Член 20
20-01	Секој има право на слобода на мирни собири и здружување.
20-02	Никој не може да биде принуден да членува во некое здружение.
21-00	Член 21
21-01	Секој има право да учествува во управувањето со неговата земја, непосредно или преку слободно избрани претставници.
21-02	Секој има право на еднаков пристап кон јавните служби во неговата земја.
21-03	Волјата на народот ќе биде основата на власта, волјата на народот ќе се изразува на повремени и автентични избори, што ќе се одржуваат, со универзално и еднакво право на глас и со тајно гласање или според соодветните процедури на слободно гласање.
22-00	Член 22
22-01	Секој, како член на општеството, има право на социјана сигурност и има право да ги остваува своите економски, социјални и културни права, неделиви од неговото достоинство и слободниот развој на неговата личност, и тоа преку национални напори и меѓународна соработка и во согласност со поредокот и потенцијалите на секоја држава.
23-00	Член 23
23-01	Секој има право на работа, слободен избор на работно место, праведни и поволни услови за работа и заштита од невработеност.
23-02	Секој, без каква и да е дискриминација, има право на еднаква плата за иста работа.
23-03	Секој кој работи има право на праведен и соодветен надоместок што нему и на неговото семејство ќе им обезбеди достоинствен живот, а кој надоместок ќе биде надополнет, до колку е неопходно, со други средства на социјална заштита.
23-04	Секој има право да основа и да се зачленува во синдикати заради заштита на неговите интереси.
24-00	Член 24
24-01	Секој има право на одмор и слободно време, вклучувајќи ги тука и разумното ограничување на работното време и правото на повремен платен одмор.
25-00	Член 25
25-01	Секој има право на животен стандард што нему и на неговото семејство ќе им обезбеди здравје и добробит, вклучувајќи храна, облека, живеалиште и медицинска грижа и неопходни социјални услуги, и право на осигурување во случај на невработеност, болест, инвалидност, вдовство, старост или во друг случај на недостаточни средства за живот поради околности што се надвор од неговата контрола.
