00-00	dunya kishilik hoquqi xitabnamisi
00-01	insanlar ailisining barliq ezalirining özige xas izzet-hörmitini shuningdek ularning barwer we tewrenmes hoquqini etrap qilishning dunyawi erkinlik, heqqaniyet we tinchliqning asasi ikenliki.
00-02	kixilik hoquqigha étibarsiz qarash we haqaret kelturush ewj élip kixilerning wijdanini bulghaydighan yawuz zorawanliqqa aylan'ghanliqi, hemme adem söz erkinliki we étikad erkinlikidin behrimen bolidighan hemde wehime we namratliqtin xaliy bolidighan dunyaning yetip kélishi addiy xelqning aliy arzusi dep élan qilin'ghanliqi.
00-03	insanlarning ilajisizliqtin zorawanliq we zulum ustide isyan köturimiz dep tewekkulige heriket qilip yurmesliki üchün, kishilik hoquqini qanun arqiliq idare qilish yoli bilen qoghdash zörür bolghanliqi,
00-04	döletler ara dosttluq munasiwetning tereqqiyatini algha sürüsh zörürluki.
00-05	birleshken döletler teshkilatigha eza döletler xelqining birleshken döletler xartiyiside özlirining asasiy kishilik hoquqi, insaniy izzet-hörmiti we qedir-qimmiti shuningdek er-ayallarning barawerlik hoquqi toghrisidiki eqidisini qayta tekitligenliki hemde bir qeder chong erkinlik asasida jem'iyetning yuksilishi we turmush derijisining yaxshilinishini algha sürüshke bel baghlighanliqi.
00-06	eza döletlerning birleshken döletler teshkilati bilen hemkarliship, kishilik hoquqi we asasiy erkinlikning omumyuzluq hörmetlinishi we emelge qoyulushini algha sürüsh yolida qet'iy iradige kelgenliki.
00-07	ashu hoquq we erkinlikni omumyüzlük chushinishning shu qet'iy iradining toluq emelge ashurulushigha muhim tesir körsitidighanliqi.
00-08	közde tutulghachqa, hazir
00-09	yighin,
00-10	barliq xelq we barliq dölet tiriship emelge ashuridighan ortaq ölchem süpitide mushu dunya kishilik hoquqi xitabnamisini élan qilidu. her bir adem we ijtima’iy apparatning mushu xitabnamini her daim este ching saqlap, telim we terbiye arqiliq hoquq we erkinlikning hörmetlinishni tiriship algha sürüshi hemde döletlerning we xelq'araning tedrijiy ilgirilesh tedbirliri arqiliq ashu hoquq we erkinlikning eza döletlerning özidiki xelq arisida shuningdek shu döletlerning bashqurush tewelikidiki zéminida yasaydighan xelq arisida omumyüzlük we unumluk étirap qilinishi we emelge qoyulushini umid qilidu:
01-00	1-madda
01-01	hemme adem zatidinla erkin, izzet-hörmet we hoquqta babbarawer bolup tughulghan. ular eqilghe we wijdan'gha ige hemde bir-birige qérindashliq munasiwitige xas roh bilen muamile qilishi kérek.
02-00	2-madda
02-01	hemme adem mushu xitabnamide qeyt qilin'ghan barliq hoquq we erkinliktin behrimen bolush salahiyitige ige. ular irqi, renggi, jinsi, tili, dini, siyasiy qarishi yaki bashqa qarishi, dölet teweliki yaki ijtimaiy kélip chiqishi, mülki, tughulushi yaki bashqa salahiyiti jehettin qilche perqlenmeydu.
02-02	uning ustige hemme adem ozi tewe dölet yaki zéminning siyasiy, memuriy yaki xelq'ara ornining oxshash bolmasliqi bilen perqlenmeydu. Bu zéminning musteqil zémin, wakaliten bashquruluwatqan zémin. aptonomiyisiz zémin yaki bashqa herqandaq igilik hoquqigha chek qoyulghan halettiki zémin bolushidin qet'iynezer.
03-00	3-madda
03-01	hemme adem hayatliqtin, erkinliktin we jismaniy bixeterliktin behrimen bolushqa hoquqluq.
04-00	4-madda
04-01	herqandaq ademni qul qilishqa yaki qul qatarida ishlitishke bolmaydu. herqandaq shekildiki qulluq tozumnimu, qullarni élip-sétishnimu men'i qilish kérek.
05-00	5-madda
05-01	herqandaq ademni rehimsizlik bilen qiynashqa yaki wehshiy, insaniyetsiz yaki jaqaret xaraktérlik muamilige yaki jazagha duchar qilishqa bolmaydu.
06-00	6-madda
06-01	hemme adem herqandaq jayda qanun aldidiki kishilik izzitini étirap qildurushqa hoquqluq.
07-00	7-madda
07-01	hemme adem qanun aldida babbarawer hemde qilche kemsitilmey, qanunning barawer qoghdishidin behrimen bolushqa hoquqluq. Hemme adem mushu xitabnamige xilap herqandaq kemsitishtin we mushundaq kemsitishke turtke bolidighan herqandaq qilmishning ziyankeshlikdin saqlinish üchün, barawer qoghdashtin behrimen bolushqa hoquqluq.
08-00	8-madda
08-01	herqandaq adem ozining asasiy qanun yaki qanunlar bexsh etken asasiy hoquqi ziyankeshlikke uchrighanda, layaqetlik dölet soti arqiliq bundaq ziyankeshlik herikitidinunumluk qutulup qélishqa hoquqluq.
09-00	9-madda
09-01	herqandaq ademini herqandaq shekilde qolgha élishqa, nezer bent qilishqa yaki sürgün qilishqa bolmaydu.
10-00	10-madda
10-01	hemme adem musteqil hem xalis sotning adil we ochuq soraq qilish bilen özining hoquqi we mejburiyitini mueyyenleshturushke hemde özige qoyulghan herqandaq jinayi eyibni éniqliwélishqa pütünley teng hoquqluq.
11-00	11-madda
11-00	jinayi ishlar bilen erz qilin'ghanliki adem aqlash jehette lazimliq barliq kapaletke érishken ashkara sotta jinayiti barliqi qanun boyiche delillengiche gunahsiz dep qarilisqa hoquqluq.
11-01	herqandaq ademning herqandaq qilmishi yaki qilmishsizliqi sadir bolghan waqtida dölet qanuni yaki xelq'ara qanun boyiche jinayi ishlar jinayitini shekillendurmigen bolsa, jinayi ishlar jinayitini ötküzgen dep höküm chiqirishqa bolmaydu. jinayi jaza jinayet ötküzgende tetbiq qilindighan qanundiki belgilimilerdikidin éghirlitiwétilse bolmaydu.
12-00	12-madda
12-01	herqandaq ademning xususiy turmushigha, ailisige, turalghu jayigha we xet-alaqisige xalighanche arilishiwélishqa bolmaydu. Uning sheni we shöhritige hujum qilishqa bolmaydu. bundaq arilishishtin yaki hujumdin saqlinish üchün, hemme adem qanunning qoghdishidin behrimen bolushqa hoquqluq.
13-00	13-madda
13-00	hemme adem herqaysi döletlerning zéminida erkin kochushke we olturaqlishishqa hoquqluq.
13-01	hemme adem herqandaq dölettin kétishke, jomlidin öz döletidin kétishke hoquqluq hemde özining dölitige qaytip kélishke hoquqluq.
14-00	14-madda
14-00	hemme adem ziyankeshliktin saqlinish üchün, bashqa döletlerde panah tileshke we panahlinishqa hoquqluq.
14-01	heqiqeten gheyriy siyasiy jinayet yaki birleshken döletler teshkilatning asasiy meqsiti we prinsipigha xilap qilmish bilen eyiblengen ehwal astida, bundaq hoquqtin paydilinishqa bolmaydu.
15-00	15-madda
