00-00	Mɛ tɔnun asaria yen adunia nɔɔsiabu
00-01	Nde mɛ̀ ba doke mà tɔmbu kpuron bɛɛrɛ ka ben asaria nɛrabu sɔɔra tii mɔru ka gem wɛɛbu ka sere si na ta tasa anduniaɔ,
00-02	Nde mɛ̀ dunia sɔɔ tɔmba ǹ ki bu tɔ nun asaria ka yɛru sariru dooru doke sere ba n ye tusa n dera daa kam ya dabia ma ya duniagibu daakari seeya. Yen sɔna yé tɔnu kanamɔ n kpuro kere yera ù wa u n tii mɔ kpa ù gere yè u bwisika, u tamaa doke kpa ù narùrabu ka yaaru biru ko,
00-03	Nde mɛ̀ yè ya kere yera tem mi ba wooda swii bu tɔnum asaria nɔni doke, n wa tirasi yu ku wii deema ù ka tii yina yen sɔ ba wii yoru diisiamɔ ka ba wii takaasi mɔ̀,
00-04	Nde mɛ̀ yè ya kere yera bu nɔɔsina ka bu bɔrɔnu dam kɛ tem baa,
00-05	Nde mɛ̀ tire te sɔɔ tem tɔm bè ba. Waa ONUN yigbɛru sɔɔ ba tɔnun asarian tii, win girima ka win bɛɛrɛ, tɔn durɔ ka tɔn kurɔn nɛrabu (goo kun goo kere) kpam naanɛ kua. Ma ba yii bu (swaa kpee) ko nɛ tɔmbun waaru ta koo ka sosi, kpa bu waaru gɔsia doonɔɔrugiru mi tii mɔra kon kpa,
00-06	Nde mɛ̀ tem ka tem mɛ̀ mu, yigbɛru duuwa mɛ ka ONU ba mua bu ko mɛ̀ ba koo ko bu ka tɔnun asaria ka win tii mɔrun tii tii girima doke,
00-07	Yè ya kere yera suam tem (tia) mɛ̀ tɔnun asaria ka win tii mɔrun swaa sɔɔ, n wa mɛ̀ ba yii ba nɛ ba koo ko bu yè ko mam mam.
00-08	Mɛnnɔ bɔkɔ ge, ga yɔrasia ga nɛ:
00-09	mɛ tɔnun asaria yen andunia nɔɔsia bi bu saawa, gaa ni bweseru baatere ka tem baamɛre mu kasu mu naa, n wa tɔmbu kpuro, sɔm ko yenu ka yigbɛnu kpuro, bà n tɔnun asaria nɔɔsia bi bwisika bu asaria girima dokebu ka tii mɔru wuu swaa daasia ka keu sɔɔsibu ka sere bwisi sosibu. Kpa bu ko mɛ̀ ba koo ko n wa kpurɛ kpurɛ ba aweren temɔ, bu girima doke bi ka tii mɔɔ te sua, kpa bu ka sɔm buru ko wuu si su waa yigbɛ te sɔɔn tɔmbun tii ka tem mɛ̀ ba mɔ min tɔmbu sɔɔ.
01-00	Damba 1
01-01	Ba tɔmbu kpuro marawa ba tii mɔ, ba nɛ, girima ka saria sɔɔ. Ba ra bwisiku, ba dasabu mɔ, ma n weene ba n waasinɛ mɛrobisiru sɔɔ.
02-00	Damba 2
