00-00	ADASA NDZINOA HO DAWURBƆ
00-01	Ɔnam dɛ adasa hɔn enyimnyam yɛ pɛr na ndzinoa a obi nngye mmfi hɔn nsamu a wɔwɔ no ngyetomu nye wiadze yi mu fahodzi, pɛrpɛrdzi, ntsɛntsenenee na asomdwee ne fapem;
00-02	Ɔnam dɛ tsia a yetsiatsia nyimpa ne ndzinoa do no dze ewurkadze nwenwen a obiara tsia aba, na afei so wɔabɔ wiadze a ɔreba a no mu nyimpa benya fahodzi wɔ kasa, gyedzi, suro na ohia ho dawur dɛ nyimpapem nyina hɔn ahwehwɛdze tsitsir,
00-03	Ɔnam dɛ ohia pɛpɛɛpɛ dɛ yɛmmpɛ dɛ yɛyɛ adasa ndzinoa ho mbra,
00-04	Ɔnam dɛ ohia dɛ wotu aman na aman ntamu anyɛnkoyɛ nkitahodzi mpon,
00-05	Ɔnam dɛ Amanaman Nkabɔmu Kuw mu nyimpa nyina edua Farbaa Nwoma no do agye hɔn gyedzi a ɔwɔ adasa awose ndzinoa, nyimpa n'enyimnyam na nyimpa no bo a ɔsom, na mbanyin na mbaa hɔn ndzinoa a ɔyɛ pɛr ato mu na wɔabɔ hɔn enyim biriw dɛ wobotu asetsena mu kankɔ na atseyie mpon,
00-06	Ɔnam dɛ aman a wɔdɔm Amanaman Nkabɔmu Kuw no abɔ ɔdabaa dɛ wɔnye Kuw no bɛyɛ ahwehwɛ amansuon nyina enyiedzi ama adasa ndzinoa na awose fahodzi ntsi.
00-07	KUW NO BAGUA KƐSE NO
00-08	Paa mu kã dɛ:
00-09	Afei,
00-10	NHYIAMU KƐSE NO YI ADASA NDZINOA HO DAWURBƆ no kyerɛ dɛ: ɔno nye nhwhɛdodze tsitsir a ɔwɔ hɔ ma nyimpa na aman nyina, ama ankorankor biara na nyimpa kuw biara, sɛ wɔdze dɛm dawurbɔ yi si hɔn enyim a, wɔaabɔ mbɔdzen edua nkyerɛ na adzesua do ama nkorɔfo eedzi ndzinoa na fahoazi ahorow no nyi; na wɔaatɔa do afa hɔnara hɔn man na amanaman nhyehyɛɛ do wɔama wɔaagye dawurbɔ yi ato mu na woeedzi do wɔ Aman a wɔdɔm Nkabɔmu Kuw no mu biara mu nye asaase biara a wɔhyɛ hɔn ase no so do.
01-00	Asɛmpɔw 1
01-01	Wɔwo adasa nyina to fahodzi mu, na hɔn nyina yɛ pɛr wɔ enyimnyam na ndzinoa mu. Wɔmaa hɔn nyina adwen na tsibowa, na ɔwɔ dɛ hɔn nkitahodzi mu ndzeyɛɛ da no edzi dɛ wɔyɛ enuanom.
02-00	Asɛmpɔw 2
02-01	Obiara wɔ ndizona na fahodzi a wɔada no edzi wɔ Dawurbɔ yi mu no ho kwan a nyiyimu biara nnyi mu a ɔfa no obi n'awosu anaa no honamenyi ngyegyee mbrɛ ɔtse, dɛ ɔyɛ banyin anaa ɔyɛ basia, ne kasaa a ɔkã, ne nyamesom mbrɛ ɔtse, amanyɛ ho adwen a ɔwɔ, ne man anaa asetsena mu gyinabew a ofi mu, egyapadze a ɔwɔ, n'awofo hɔn gyinabew anaa gyinabew fofor biara so a ɔwɔ ho.
02-02	Bio, onnyi dɛ wogyina ɔman a obi fi mu no n'amanyɛ kwan, ne mbra anaa n'amanandze gyinabew do-dɛ ɔman no dzi ne mansin, dɛ ɔhyɛ ɔman bi no nhwɛdo ase, anaadɛ onnyi fahodzi, yɛ nyiyimu tsia nyimpa no.
03-00	Asɛmpɔw 3
03-01	Nyimpadua no nkwa, ne fahodzi, na no tɔtrɔtɔ yɛ obiara ne ndzinoa.
04-00	Asɛmpɔw 4
04-01	Onnyi dɛ wɔdze obiara to nkowaasom mu anaadɛ wɔma ɔsom ɔsomhun; ɔwɔ dɛ wogu nkowaasom na ndɔnkɔgua korakora.
05-00	Asɛmpɔw 5
05-01	Onnyi dɛ wɔyɛ obiara ayakayakadze, etsiɔdzendze anaa enyinyandze anaa wɔtsea no anaa wɔma no asotwe biara a ɔsɛɛ dasanyi n'enyimnyam.
06-00	Asɛmpɔw 6
06-01	Ɔyɛ obiara ne ndzinoa dɛ, mbra mu, wobu no dɛ nyimpa wɔ beebiara.
07-00	Asɛmpɔw 7
