00-00	Đǝlwaɽa Pǝlelo Đalo Eŋen ŋǝ Leđa (Iguk)
00-01	Iliga ŋen ŋǝđamia iđi đǝɽǝñađaiđo ŋëŋǝnǝṯu eleđa pređ lǝđǝlǝŋe đalo na eŋen iŋi ŋǝđǝɽǝwaṯia đǝber đǝtësǝnia eŋen iŋi ŋǝrcađaṯo ṯa leđa lalo alerṯe, ŋaɽo ađuna yiđëbǝrëinialo na ŋen ŋǝđurwaṯu na đëuṯaralo elǝbate.
00-02	Na iliga ŋen iŋi ŋǝrcađaṯo ṯa leđa lalo alerṯe ŋǝber ŋǝbǝɽǝcǝniano na ŋǝđëmǝcǝnu eŋen, ŋënŋu ŋiđu nǝŋǝlǝŋe ŋǝlwa ŋǝŋǝmëɽria ŋǝfo đoɽǝđoɽa na nǝŋgiṯi ara gǝmǝṯo gǝleđa nǝŋaye. Na fǝŋen iŋi leđa lalo tǝmtǝm lǝgakonda ṯa alo ayǝfeṯe yeŋǝra ṯa alufiđi đëbǝrëinialo eŋen ŋǝŋǝɽwata na eŋen ŋǝđëndia ŋen ŋǝ Rǝmwa ŋenŋanṯa ŋǝđañ na ŋǝbai alǝtǝmǝre. Ŋen iŋi ŋalǝŋinu ṯa ŋënŋu ŋaɽo ŋen iŋi leđa lalo pređ lǝbirnḏëinia ṯa alǝfiđi.
00-03	Na iliga ŋen ŋǝfo ŋunëinia kañ ŋenŋanṯa leđa alerṯe lǝđǝrnađëiđǝnia ṯa alǝfiđi ŋen ŋǝlǝŋgiṯia ṯa alǝtođe lǝkia ŋǝlǝŋe ŋabǝɽaŋa iŋi ŋǝlǝđǝrnađaiđia na ŋǝlǝmwëđialo, na fǝŋu ṯa ŋen iŋi ŋarcađaṯo ṯa leđa pređ lalo alǝfiđi alganun yëɽǝnu yermoṯwa.
00-04	Na iliga ŋen ŋǝɽǝṯia ŋǝfo ŋunëinia kañ ṯa leđa alǝŋgiṯi ŋǝlǝŋǝnia ŋǝŋǝra aŋǝfeṯe na aŋǝmǝñađaṯe nëñua eleđa lalo pređ.
00-05	Na ŋen iliga leđa lalo tǝmtǝm lǝ Leđa ildi Lǝrrëiđu ŋen (United Nations) laɽwato đeṯǝm eŋen ŋǝđǝrrëiđia eŋen eđen đǝmajǝn ŋenŋanṯa đonaṯa eđen đafo eŋen iŋi ŋǝɽo ađuna eŋen iŋi ŋǝrcađaṯo ṯa leđa lalo alǝfiđiṯi, na eŋen ŋǝđamia iđi ŋen ŋǝŋǝra ṯa eđa gǝnǝŋ aŋǝfiđi. Ŋen iŋi ŋarcađaṯo ṯa leđa pređ lǝrrwa na lǝɽǝlda alǝnëini ŋǝɽǝwaṯo ṯa alëkëɽi ŋen alǝburkwëđëci ŋen nëñua iŋi leđa lerṯo ldǝɽo irnuŋ ṯa ŋen aŋǝfeṯe ŋǝŋǝra ŋǝđǝmǝṯia irnuŋ iŋi ŋǝfo ŋenŋa ŋǝđëbǝrëinialo ŋǝbǝrano.
00-06	Na ŋen iliga Irnuŋ Goɽra pređ igi gǝɽǝbǝđo eŋen gǝrrëiđu ŋen ṯa aliđi ŋen ŋame ldǝɽo Leđala ildi Lǝrrëiđu ŋen ŋenŋanṯa alǝburkwëđëci ŋen nëñua ŋǝđǝbǝɽǝca ŋeniano ŋǝđǝnaca leđa lalo ɽetǝɽeto, ŋen ŋǝđǝrmoṯwa ŋen iŋi ŋǝrcađaṯo ṯa leđa alǝfiđi na ŋen pređ ŋǝɽo ađuna eŋen ŋǝđëbǝrëinialo.
00-07	Na iliga ŋen ŋǝđerṯia đǝlǝŋeṯa đǝŋǝra ŋenŋa iŋi ŋǝrcađaṯo ṯa leđa alerṯe na đëbǝrëinialo, ŋerṯo ŋen ŋoɽra kañ eŋen ŋǝđiđia ŋen đǝɽo ṯǝɽom eŋen ŋǝđëbǝrëinialo iđi.
00-08	Nǝṯia điñiđi Đǝrraiđia iđi Đoɽra (General Assembly),
00-09	Đaɽwata pǝlelo ṯa, ŋen iŋi ŋǝlwëɽǝnu pǝlelo alo eŋen iŋi ŋǝrcađaṯo ṯa leđa lalo tǝmtǝm alǝfiđi ŋenŋanṯa ŋënŋu ŋaɽo ŋen ŋǝŋǝra ŋǝɽǝwëciđia leđa pređ, na iŋi liji tǝmtǝm na leđa lalo ɽetǝɽeto, leđa lǝnenǝŋ na ŋǝɽo ŋǝleđa aɽrǝmoṯwe ŋen iŋi ŋǝlwëɽǝnu na alëɽǝni eŋǝɽwa eŋen, na ŋen aŋëɽǝni iŋǝmëɽria na iđarrǝŋëiđia na iđëgria nalmaḏrasa ŋenŋanṯa leđa alarrǝŋëini ŋen ṯa đubwa na đǝrmoṯwa ŋen pređ iŋi ŋǝrcađaṯo ṯa leđa alǝfiđi,na ŋen ŋǝđëbǝrëinialo, ŋenŋa iŋi ŋǝđǝɽatǝwëciđia ŋen aŋǝɽađaṯe nëñua eŋen ŋǝleđa irnuŋ igi na irnuŋ galo pređ, ŋenŋanṯa ŋen aŋerṯe ŋǝnǝŋ ŋǝbaraca orba walla ŋǝkera đǝŋǝra eđen đalo na ŋǝmëɽria ŋǝlǝŋinu ŋǝlëɽǝŋu na đǝrmoṯwa eleđa iligano lirnuŋ ɽetǝɽeto igi gǝɽǝbǝđo eŋen đurri na eleđa ildi lǝfo eŋabǝɽa eŋǝlǝŋe eŋen.
01-00	Ađuna 1
01-01	Leđa pređ lalǝŋǝnia lëbǝrëinialo na lǝɽǝwaṯo eŋen ŋǝđamia na eŋen pređ iŋi ŋǝrcađaṯo ṯa leđa alǝfiđi. Lënŋulu pređ lananëinu đǝnaca đame ɽetǝɽeto na ara gǝŋǝra ŋenŋanṯa alǝɽǝwađaṯe alamǝđaiđe bǝɽan usilaga gǝŋǝlǝŋǝnia na gǝŋorba.
02-00	Ađuna 2
