00-00	İNSONI HƏXON BARƏDƏ UMUMİYƏ BƏYONNOMƏ
00-01	Bə insoni avlodon həmməy xasbıə ləyoğətə fikfamon iyən çəvon bərobərbıə, yəndıku conıbə həxon zıne - ozodəti, ədoləti iyən sulhbeyəti əsosinə şərtbe bə nəzə seədə;
00-02	Bə insoni həxon beitonəti iyən nifrət kardeəti bəşəriyyəti bə dəhşətvardə barbarizmi səbəb be, həmçının bə sıxankarde, etiqadbaste ozodəti malikbıə, tarsiku, ehtijociku ozodbıə dınyo ofəyemonəti çı bəşəriyyəti ən ali piyəybe bə nəzə seədə;
00-03	İnsoni bə zılmi-istibdodi vəynə bənə oxonə vasitə bə ğıyom eşte məcbur nıbe təmin kayro insoni həxon de ğanuni hukuməti dasti mıdafiə karde zəruribe bə nəzə seədə;
00-04	Xəlğon arədə mehribanə munasibəton oko dastək doy vacibəti bə nəzə seədə;
00-05	İbıə Milləton xalqon İbıə Milləton Təşkilati (İMT) Nizomnomədə bə əsosinə insoni həxon, bə insoni şəxsiyyəti ləyoğəti iyən ğıyməti, merdon-jenon həxon bərobərəti bovə kay təsdığ karde, həmçinin həniyən hevujə ozodəti şəraitədə bə sosialə tərəğği nailbe iyən bo jimoni şəraiti çokbeyo koməq karde bə qətm doə be bə nəzə seədə;
00-06	Uzvbıə devləton de İMT həmkoəti şəraitədə bə insoni həxon iyən əsosinə ozodətiyon bəməl vardero koməqəti karde bəştə ehdə peqəteəti bə nəzə seədə;
00-07	İn həxon iyən ozodətiyon tam dərk kardeyo həmonə ehdəpeqətəyon bə vırə rosniye yolə əhəmiyyət kəsb kardeəti bə nəzə seədəy;
00-08	İMT Penə Məclis
00-09	bəyon kardedə İnsoni Həxon barədə Umumiyə Bəyonnomə qələy vəzifə təki, əçəyən bə vırə rəse qorə bəpe həmmə milləton iyən dəvləton joğo cəhd bıkən ki, har kəs iyən cəmiyyəti har qılə orqan ın Bəyonnomə ıştə dastədə rəhbər qəte əsosdə maarifvonəti ya de tədrisə roy bə ın həxon iyən ozodətiyon hurmətkarde iyən əvoni təmin kayro dastək be bızno, milli iyən beynəlxalqə səviyyədə de tərəqqipərvərə tədbiron roy həm İMT uzvbıə xəlğon, həmən çəvon yuristiksiyə jiyobıə əraziyonədə jiyə xəlğon arədə həmməyəvo iyən effektiv zınə bıbu.
01-00	Maddə 1
01-01	Həmmə insonon bəştə ləyoğəti iyən həxonro ozod iyən bərobər movardə bedən. Çəvon şuur iyən vicdon hese, əve ki, deyəndı mınasibətədə bənə bıvə rəftor kardəninin.
02-00	Maddə 2
02-01	Har qılə şəxs ıştə irqi, pusti ranqi, cinsi, zıvoni, dini iyən co əğıdə, milli ya sosial səvoni, əmlakə, sosialə movqe iyən co vəziyyətiku bəşıkrə nıbə ın Bəyonnomədə elon kardə bıə həmmə həxon iyən ozodətiyon malik bənine.
02-02	Çımiku ziodə, çı həminə şəxsi mənsubbıə məmləkəti ya ərazi, çı ərazi mıstəğıləti, ğəyyuməti jiyobe, ıştənidarənıbə be ya suverenəti har curə şiklədə məhdud beku bəşıkrə nıbə, siyasiyə, huğuğiyə iyən beynəlxalğə statusiku bə nav omə co-səçınətiyon barde əbıni.
03-00	Maddə 3
03-01	Har şəxsi bo jiye, bo ozodəti iyən şəxsi dastnıjənəti həxış hese.
04-00	Maddə 4
04-01	Hiç kəs bənə kolə (nokə) ya şıkrə vəziyyətədə oğəte əbıni; ğuldorəti iyən ğulə hıriyemon həmməy formondə ğədəğən kardə bedə.
05-00	Maddə 5
05-01	Hiç kəs bə əzobi, ya ğəddorə, çəy ləyoğəti bə ji vardə ğeyri-insonə mınəsıbəton, bə cəzoon məruz nibənine.
06-00	Maddə 6
06-01	Har qılə şəxs konco bedə bıbu ıştə həxe subyektəti zıneyəti həxış heste .
07-00	Maddə 7
07-01	Həmmə insonon ğanuni vədə bərobərin iyən qanuni tərəfiku bərobər şiklədə ıştəni mıdafiə həxjon hestışone. Həmmə insonon ın Bəyonnomə dəcvoniyə har curə co-vıjniyətionku, bə jələvonə co-vıjniyətion har curə cəhdiku bərobər şiklədə mıdafiə həxjon hestışone.
08-00	Maddə 8
