00-00	AMEGBETƆ ƑE ABLƆƉEVINYENYE ŊU KPEƉOƉZINYA
00-01	Esi woɖe dzesi kɔtɛe be, amegbetɔwo katã ƒe gomekpɔkpɔ sɔsɔe, anye gɔmeɖokpe na amegbetɔƒomea ƒe ablɔɖemenɔnɔ, nuteƒewɔwɔ kple ŋutiƒaƒa le xexeame ta la.
00-02	Esi eme va kɔ ƒãa be, ablɔɖevinyenye si nye amegbetɔ ɖesiaɖe tɔ la ŋu mabumabu akpɔ gbɔe wòtso be hlɔ̃nuwɔwɔ ɖe amegbetɔƒomea ŋu va bɔ ta la, amewo ƒe dzitsinya va tsi tre ɖe nuwɔna vloe sia ŋuti ale woɖe adzɔgbe heɖoe kplikpaa be, le egbe xexe sia me la, ele be amegbetɔ nanɔ agbe le ablɔɖe me, aɖe eƒe didi agblɔ ƒaa vɔvɔ manɔmee, asubɔ nusi dzi wòxɔ se, avo tso ŋɔdzidodoname si me eye hiãkame maganye agbenɔnɔ ƒe afɔklinu na ame hahoawo o ŋuti la,
00-03	Esi woɖo kpe edzi be, ehiã be se nadzɔ Amegbetɔ ƒe Ablɔɖevinyenye ŋu Kpeɖodzinya la ŋu, be ameteteɖeto kple funyafunyawɔwɔ ame magawɔe be ame aɖeke nayi eɖokui ta ʋli gei la to aglãdzedze me o ŋuti la,
00-04	Esi wohiã vevie be woado dukɔ kple dukɔwo dome kadodo ɖe ŋgɔ le xexemedukɔwo katã dome ta la,
00-05	Esi Xexeme Dukɔ Ƒoƒuawo ɖe adzɔgbe le woƒe Ɖoɖo si te wode asie la me be, to Amegbetɔ ƒe ablɔɖevinyenye ŋu Kpeɖodzinya me la, amegbetɔ ɖesiaɖe, eɖanye nyɔnu alo ŋutsu o, ƒe gomekpɔkpɔ sɔ eye wokpɔ mɔ be to esia me la, hadomegbenɔnɔ azɔ ɖe ŋgɔ, ablɔɖe asu amesiame si wu tsã eye agbenɔnɔ nadze edzi nyuie na amesiame wu tsã ta la,
00-06	Esi dukɔ siwo katã da asi ɖe Kpeɖodzinya dzi la ɖe adzɔgbe be yewoakpɔ egbɔ be amesiame de bubu Kpeɖodzinya la kple amewo ƒe ablɔɖemenɔnɔ bliboe ŋu kpakple ŋkuléle ɖe ɖoɖo la ŋuti to ɖekawɔwɔ me kple Xexeme Dukɔ Ƒoƒuawo la,
00-07	Esi eme kɔ ƒãa be gomekpɔkpɔ kple Ablɔɖemenɔnɔ gɔmesese tsitotsito nye nu vevitɔ wu, hena takpɔkpɔ na adzɔgbeɖeɖe sia bliboe ta la,
00-08	XEXEME DUKƆ ƑOƑUAWO ƑE TAKPEKPEGÃ LE GBEƑÃ ƉEM:
00-09	Amegbetɔwo ƒe Ablɔɖevinyenye ŋu Kpeɖodzinya sia be, enye ɖoɖo si dzi mieda asi ɖo na amewo katã le xexeame godoo. Míele mɔkpɔkpɔ me be amesiame kple xexeame habɔbɔ ɖesiaɖe le afisiafi azɔ ɖe Kpeɖodzinya sia nu. Woakakae ɖe xexeame katã to efiafia kple emeɖeɖe na amewo me. Esia awɔe be amewo nase Kpeɖodzinya la gɔme eye woaxɔe, awɔ ɖe edzi be, agbenɔnɔ natsɔ afo nyuie le Dukɔ siwo le Xexeme Duko Ƒoƒuawo ƒe Habɔbɔ me la me. Wokpɔ mɔ be woakaka Kpeɖodzinya la ɖe Xɔɖeasinyigba siwo dzi ɖum dukɔ aɖewo le la hã me hena dzidzedzekpɔkpɔ.
01-00	KPEƉODZINYA ƉOƉO 1
01-01	Wodzi amegbetɔwo katã ablɔɖeviwoe eye wodzena bubu kple gomekpɔkpɔ sɔsɔe. Susu kple dzitsinya le wo dometɔ ɖesiaɖe si eyata wodze be woanɔ anyi le ɖekawɔwɔ blibo me.
02-00	KPEƉODZINYA ƉOƉO 2-LIA
02-01	Ele be amesiame nakpɔ gome le ablɔɖevinyenye ƒe ɖoɖo siwo katã le Kpeɖodzinya la me me. Woawɔ ɖoɖo siawo dzi vovototodeameme manɔmetɔe ɖe eƒe dzɔtsoƒe, ŋutigbalẽ ƒe amadede, ŋutsu alo nyɔnuyenye, gbegbɔgblɔ, xɔsehamenɔnɔ, dunyahehamenɔnɔ, ame ƒe susu ƒe vovototo, ɖevinyenye alo ɖoƒe tɔxɛ aɖeke ta o.
02-02	Gawu la, vovototodeameme madze le ame aɖeke ƒe dunyahenyawo alo eƒe dukɔa ƒe kadodo kple dukɔ bubuwo me o. Nenema ke ame la ƒe dukɔ si me wòtso la ɖanye dukɔ nɔ-eɖokui si o, eɖanye xɔɖeasi dukɔ alo dukɔ manɔɖokuisi o, vovototodeameme nuwɔna aɖeke mayi edzi ku ɖe eŋu o.
03-00	KPEƉODZINYA ƉOƉO 3-LIA
03-01	Ele be amesiame nanɔ agbe leablɔɖe kple dedienɔnɔ me.
04-00	KPEƉODZINYA ƉOƉO 4-LIA
04-01	Womatsɔ ame aɖeke awɔ kluvie alo aɖoe awɔbae o, woatsi kluvinyenye kple kluvisitsatsa nu gbidii le mɔ vovovoawo nu.
05-00	KPEƉODZINYA ƉOƉO 5-LIA
05-01	Womawɔ funyafunya ame, asẽ tame le eŋu, awɔ hlɔ̃nu aɖeke ɖe eŋu, ahe to nɛ ahaɖi gbɔ̃e o.
06-00	KPEƉODZINYA ƉOƉO 6-LIA
06-01	Woade bubu amesiame ŋu le afisiafi abe amegbetɔ ene le se la nu.
07-00	KPEƉODZINYA ƉOƉO 7-LIA
07-01	Amewo katã sɔ le se la dziwɔwɔ me eye wo katã akpɔ gome le se la ƒe wo taʋiʋli me vovototomanɔmee.
08-00	KPEƉODZINYA ƉOƉO 8-LIA
08-01	Gomekpɔkpɔ le amesiame si le dukɔa ƒe ʋɔnudrɔ̃ƒewo hena ɖɔɖɔɖowɔwɔ siwo ku ɖe eƒe ablɔɖevinyenye ƒe kuxiwo ŋu abe alesi wole dukplɔse la me ene.
09-00	KPEƉODZINYA ƉOƉO 9-LIA
09-01	Womalé ame aɖeke akpasesẽtɔe, azi edzi ɖe gaxɔme, alo anyae le dukɔa me ɖe adzemadze dzi o.
10-00	KPEƉODZINYA ƉOƉO 10-LIA
10-01	Gomekpɔkpɔ sɔsɔe le amesiame si ŋu wotsɔ nya ɖo hekplɔe yi dukɔa ƒe ʋɔnudrɔ̃ƒe, afisi ʋɔnudrɔ̃la adodoe siwo matso afia ŋkunɔ o la, nade to eƒe nyawo me ku ɖe eƒe gomekpɔkpɔ, eƒe dɔdeasiwo kple hlɔ̃nya ɖesiaɖe ƒomevi si woatsɔ ɖe eŋu la me nɛ.
11-00	KPEƉODZINYA ƉOƉO 11-LIA
11-00	Womabu ame aɖeke agɔdzelae le wɔna aɖe si to nuɖeɖi me nɛ la ta le eƒe dukɔ me alo dukɔ bubuwo ƒe se nu nenye be se ma menɔ anyi le amea ƒe vodadawɔxi o.
11-01	Womabu ame aɖeke agɔdzelae ɖe nuwɔna aɖe si mele dukɔa alo gbetadukɔ aɖeke ƒe seawo me le xeyixi si me nya la dzɔ o. Nenema ke womana tohehe aɖeke si kɔ wu esi sɔ kple amea ƒe vodada le xemaxi me o.
12-00	KPEƉODZINYA ƉOƉO 12-LIA
12-01	Ame aɖeke mekpɔ mɔ atsɔ sesẽ ade nu ame bubu ƒe adzamegbenɔnya, eƒe ƒomenya, alo aƒemegbenɔnya me o. Ame aɖeke mekpɔ mɔ ato mɔ aɖeke dzi anya nu tso ame aɖe kple ame bubuwo dome kadodonyawo ŋuti o. Nenema ke ame aɖeke mekpɔ mɔ aƒo ɖi ame bubu ŋkɔ alo agblẽ eŋu o. Se la ɖe mɔ be ame aɖe si ŋu woaɖe afɔ sia ƒomevi ɖo la, naʋli eɖokui ta faa se la ŋudɔwɔwɔ me.
13-00	KPEƉODZINYA ƉOƉO 13-LIA
13-00	Amesiame kpɔ mɔ aɖi tsa ayi dukɔ ɖesiaɖe me, anɔ afisiafi si dzroe la, gake amea nakpɔ gbɔ be yemetso dukɔ si me yele la ƒe liƒowo o.
13-01	Mɔnukpɔkpɔ le amesiame si be woadzo le eƒe dukɔ alo dukɔ bubu me eye woate ŋu atrɔ gbɔ va eƒe dukɔ me.
14-00	KPEƉODZINYA ƉOƉO 14-LIA
14-00	Mɔnukpɔkpɔ le amesiame si, si aʋa yi dukɔ bubu me la si be woakpɔ sitsoƒe.
14-01	Womagbe sitsoƒemɔnu kpɔkpɔ sia nana ame ne eva eme be wole eyome tim ɖe vodada siwo meku ɖe dunyahenyawo ŋu alo esiwo tsi tre ɖe Xexeme Dukɔƒoƒuawo ƒe ɖoɖowo ŋu o.
15-00	KPEƉODZINYA ƉOƉO 15-LIA
15-00	Dumevinyenye ƒe gomekpɔkpɔ le amesiame si.
15-01	Womatsɔ akpasesẽ axɔ dukɔmevinyenye le ame aɖeke si o, eye womaxe mɔ na ame aɖeke si di be yeatrɔ azu dukɔ bubu me tɔ la o.
16-00	KPEƉODZINYA ƉOƉO 16-LIA
16-00	Mɔnukpɔkpɔ li na ŋutsu kple nyɔnu siwo tsi nyuie ate ŋu aɖe srɔ̃ la si be woaɖe amesi nyo na wo la, ado ƒome. Dzɔtsoƒe, dzrovinyenye alo subɔsubɔ manye mɔxenu o. Mɔnukpɔkpɔ sɔsɔe li na wo be woaɖe wo nɔewo. Nenema ke woagate ŋu agbe wo nɔewo hã faa.
16-01	Womazi srɔ̃ɖeɖe ɖe ame aɖeke dzi o. Ele be srɔ̃ɖeɖe la nanye srɔ̃ɖela eveawo ƒe didi.
16-02	Le dzɔdzɔme nu la, ƒomee nye gɔmeɖokpe na amegbetɔƒomea, eyata enye dukɔ ɖesiaɖe ƒe dɔdeasi be woakpɔ ƒome ɖesiaɖe ƒe dedienɔnɔ ƒe nyawo gbɔ.
17-00	KPEƉODZINYA ƉOƉO 17-LIA
17-00	Mɔnukpɔkpɔ li be nunɔamesi ate ŋu anɔ ame ɖeka si eye woagae ŋu anɔ ame ma kple ame bubuwo si ɖe du.
17-01	Womatsɔ akpasesẽ axɔ ame aɖeke ƒe nunɔamesi si le esi la o.
18-00	KPEƉODZINYA ƉOƉO 18-LIA
18-01	Amesiame kpɔ mɔ abu tame le eɖokui si le ablɔɖe me, awɔ eƒe dzitsinya ŋudɔ abe alesi wòlɔ̃ ene eye wòasubɔ le mɔ si dze eŋu la nu. Ablɔɖemɔnu sia gɔmee nye be ame aɖe ate ŋu agbe nu ɖa tso eƒe xɔse gbɔ eye wòagasubɔ nu bubu si wòlɔ̃ faa. Nenema ke wòkpɔ mɔ anɔ eɖokui si ko alo abɔ ha kple ame bubuwo le subɔsubɔhawo me. Afia nu tso nusi wòsubɔna la ŋuti le adzame alo gaglãgbe to mɔ ɖesiaɖe nu mɔxexe manɔmee.
19-00	KPEƉODZINYA ƉOƉO 19-LIA
19-01	Amesiame kpɔ mɔ abu tame le eɖokui si eye wòaɖe eƒe susu agblɔ faa mɔxexe manɔmee. Mɔnukpɔkpɔ sia lɔ susuwɔwɔ le ame ɖokuisi le ablɔɖe me ɖe eme. Esia gɔmee nye be ame aɖeke mekpɔ mɔ ado akplamatsee le wɔna sia me o. Egalɔ mɔnu si wòato ase nya tso ame bubuwo gbɔ kple alesi wòana nyanya ame bubuwo hekpe ɖe susu siwo do go tso nyagbeƒãɖeɖe ɖesiaɖe ƒomevi me kaka me. Le wɔna siawo me la, liƒowo kura gɔ̃ hã manye mɔxenu o.
20-00	KPEƉODZINYA ƉOƉO 20-LIA
20-00	Takpekpe kple hadede le ŋutifafa me ƒe ablɔɖe mɔnukpɔkpɔ, li na amesiame.
20-01	Womazi ame aɖeke dzi be woanɔ habɔbɔ aɖe me o.
21-00	KPEƉODZINYA ƉOƉO 21-LIA
21-00	Gomekpɔkpɔ le dukɔmevi ɖesiaɖe si le eƒe dukɔ ƒe dziɖuɖunyawo me. Ate ŋu anye eya ŋutɔ alo ametiatia aɖo wo teƒe le akɔdada me.
21-01	Mɔnukpɔkpɔ li na dukɔmevi ɖesiaɖe sɔsɔe be woakpɔ gome le kpekpeɖeŋu siwo keŋ dziɖuɖu nana dukɔmeviwo katã la xɔxɔ me.
21-02	Dziɖuɖu ɖesiaɖe ƒe ŋusẽ ƒe sɔti le eƒe dukɔmeviwo sime. Woaɖe ŋusẽ sia afia le xeyixi tɔxɛwo dzi to ametiakɔdada siwo wowɔna le ɖoɖo nyui me. Le akɔdada siawo me la, dukɔmevi siwo katã dze ada akɔ la, ade nu aɖaka me le adzame alo to akɔdada mɔnu bubu aɖe si dzi woda asi ɖo ŋudɔwɔwɔ me.
22-00	KPEƉODZINYA ƉOƉO 22-LIA
