00-00	COPIRNORO'SA' NAPORINSOPITA YA'IPI PIYAPI NOYA YA'HUËCAISO MARË'
00-01	Ya'ipi piyapi'sa' noya ya'huëina'. Ama incari tëranta' topinan quëran ana'inchinasohuë'. Ina quëran ya'ipi parti noya nini'tëhua' ya'huërëhua huachi.
00-02	A 'naquën piyapi 'sa' co nosorohuachinahuë', chiniquen aparësitopi. A'na tahuëri tëpapi. Inaso' pa'pi co noyahuë' tënëhua'. Nonpiso marë', yonquipiso marë' Co ana'intacaso' ya'huërinhuë'. Naporahuaton, ya'ipi piyapi ma'sha ya'huëchina' Co nohuantërëhuahuë' a nayanquënpoatëranta' pahuantinpoaso.
00-03	Ya'ipi Copirnoro'sa' noya hua'anëntinpoaso' ya 'huërin. Ama topinan quëran ana'inchinpoasohuë'. Topinan quëran aparësitohuachinpoara, a'naquën chiniquën no'huihuachina yaahuëtopi. Ina quëran a'na copirno acopi huachi.
00-04	Ya'ipi Copirnoro'sa' noya nini'tona' ya'huëina'. Ama nino'huiatonahuë', ama quira niinasohuë', tënëhua'. Ya'nan niyontonëhuaso' ninshitërëhua'. -Ya'ipi piyapi 'sa' noya ya'huëina', tënëhua'. Quëmapi'sa', sanapiro'santa' napopianachin Copirnoro'sari noya niina'. Ya'ipi piyapi'sa' catahua'hua' noya noya ya'huëcaiso marë', tënëhua'.
00-05	Ya'ipinpoa' nani chinotërëhua' piyapi'sa' catahuahuaso'. Ya'ipinpoa' noya nini 'tëhua', ya'huëa'hua', ta'tëhua', nanan a'pa'hua' piyapi'sa' noya ya'huëcaiso marë'.
00-06	Napoaton iso quirica ninshitërëhua' ya'ipi piyapi'sa' nitotacaiso marë'.
00-07	HUA'ANO'SACOI NIYONTONPATOIRA
00-08	sha'huitërai
00-09	YA'IPI PIYAPI'SA' NOYA YA'HUËINA' TËNËHUA'. Ya'ipi opirnoro'sa' inapochachi yonquiina'. Ya 'ipi escuelaro'saquë a 'chinchina'. Mashoro'santa' anitotacaiso' ya'huërin. Ina quëran ya'ipinpoa' nitotohuatëhua', nicatahua'hua' noya noya nini'tëhua' ya'huëcaiso marë
01-00	1.
01-01	Ya'ipi piyapinpoa' capini noya ninosorocaso' ya'huërin. Ya'ipinpoa' yonquirëhua'. Noya nicacaso' nitotërëhua'. Napoaton iyanpoa pochin ninosorocaso' ya 'huërin.
02-00	2.
02-01	Ya'ipi piyapi napopianachin noya ninia'hua'. Nisha nisha nirihuarahuënta' ninosorocaso' ya'huërin. Nisha nisha nananquë nonëhua'. Nisha nisha imarëhua'. A 'naquënpoa' yaraton, a 'naquënpoa' huiriton, a 'naquënpoa' quëmapinpoa', a'naquënpoa' sanapinpoa'. A 'naquënpoa' ma 'huano 'sanpoa', a 'naquënpoa' Co na 'a ma'sha ya'huëtërinpoahuë'.
