00-00	JEŊJEŊ KPAŊMƆ NI KƆƆ GBƆMƆ ADESA HEGBƐI AHE
00-01	Akɛni aŋɔɔ nɔ akɛ afɔ gbɔmɛi adesai fɛɛ akɛ mɛi ni yeɔ egbɔ kɛ heyeli ko ni anyɛŋ ashɔ̃ yɛ amɛdɛŋ, ni nomɛi ji heyeli, jalɛsane kɛ toiŋjɔlɛ shishifãi yɛ je lɛ mli hewɔ lɛ,
00-02	Akɛni bu ni abuuu, kɛ asaŋ gbɔmɔ adesa hegbɛi anɔ ni anaanaa yɛ shikpɔŋ lɛ etsɔ gbɔmɔ yitsoŋ ni eha efeɔ yiwalɛ nii, kɛ amrɔ nɛɛ gbɛgbelemɔ akɛ mɛi foji anine ashɛ amɛshweenii anɔ bɔ ni amɛaanyɛ amɛwie nɔ ni amɛsusuɔ yɛ nɔ ko he, amɛhe nɔ ni amɛsusuɔ akɛ eja gbɛ pɛ amɛye, akanyɛ awo amɛhe gbeyei dɔŋŋ, ni asaŋ akakama amɛ nɔ ko nɔ ko hewɔ lɛ,
00-03	Akɛni suɔmɔ ni asumɔɔɔ akɛ atsɔɔ gbɛ kroko nɔ ajieɔ yiwalɛ nɔyeli ko hewɔ ni ehiaa akɛ awo mla ni baafã gbɔmɔ adesa hegbɛi ahe hewɔ lɛ,
00-04	Akɛni ehe hiaa akɛ akã he aha naanyobɔɔ ahi maji ateŋ hewɔ lɛ,
00-05	Akɛni mɛi ni yɔɔ Jeŋmaji Ekomefeemɔ Ku lɛ mli lɛ ema amɛhemɔkɛyeli ni amɛyɔɔ yɛ gbɔmɔ adesa mli, kɛ agbojee kɛ egbɔyeli ni kã hii kɛ yei ateŋ nɔ aduatsɔ, ni amɛtswa amɛfai shi hu akɛ amɛbaabɔ mɔdɛŋ koni shihilɛ mli aŋɔɔ fe tsuutsu, ni heyeli ahe shi jogbaŋŋ taakɛ ato he gbɛjianɔ yɛ Jeŋmaji Ekomefeemɔ Ku lɛ kpaŋmɔ lɛ mli hewɔ lɛ,
00-06	Akɛni maji ni yɔɔ Jeŋmaji Ekomefeemɔ Ku lɛ mli lɛ ewo shi akɛ amɛkɛ ku lɛ baafee ekome bɔ ni afee ni hiɛ asɔ, ni asaŋ gbɔmɔ adesa hegbɛi kɛ heyeli ahe shi hewɔ lɛ,
00-07	Akɛni shishinumɔ ni aaana yɛ hegbɛi kɛ heyeli nɛɛ ahe baafee nɔ oti ni abaadamɔ nɔ koni shiwoo nɛɛ aye omanye hewɔ lɛ,
00-08	Belɛ, Agbɛnɛ
00-09	Kpee Wulu lɛ miiha ale
00-10	Jeŋjeŋ Kpaŋmɔ ni kɔɔ Gbɔmɔ Adesa Hegbɛi Ahe nɛɛ
00-11	Akɛ mɛi fɛɛ kɛ jeŋmaji fɛɛ asusumɔ kpãa, koni mɛi aŋkroaŋkroi kɛ kui fɛɛ adamɔ kpaŋmɔ nɛɛ nɔ amɛbɔ mɔdɛŋ amɛtsɔ nitsɔɔmɔ kɛ tsɔsemɔ nɔ yɛ majiaŋ kɛ maji ateŋ nifeemɔi anɔ amɛha emli hegbɛi kɛ heyeli lɛ ahe shi yɛ je lɛ mli fɛɛ yɛ maji ni yɔɔ Jeŋmaji Ekomefeemɔ Ku lɛ mli diɛŋtsɛ, asaŋ kɛ shikpɔji ni yɔɔ amɛshishi anɔ bii hu anifeemɔ mli.
01-00	Gbɛjianɔtoo 1
01-01	Afɔ gbɔmɔ fɛɛ gbɔmɔ yɛ agbojee mli, kɛ hegbɛ ko ni damɔ ŋɛlɛ koome nɔ. Gbɔmɛi fɛɛ yɛ jwɛŋmɔ kɛ henilee, ni no hewɔ lɛ esa akɛ amɛhe ahi shi yɛ nyɛmi suɔmɔ mli.
02-00	Gbɛjianɔtoo 2
02-01	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ eyeɔ hegbɛi ni yɔɔ kpaŋmɔ nɛɛ mli lɛ amli ŋɔɔmɔ lɛ eko, bɔ ni naatsii ko kwraa bɛ yɛ jaku mli ni ajɛ, hewolo su ni ahiɛ, nuu loo yoo ni aji, wiemɔ ni awieɔ, jamɔ mli ni ayɔɔ, maŋsaneyeli shidaamɔ mli aloo susumɔ ni ayɔɔ yɛ nɔ ko he, maŋ nɔ ni ajɛ, nii ni ayɔɔ, weku mli ni ajɛ aloo gbɛnaa ko ni ahiɛ hewɔ.
02-02	Asaŋ akwɛ koni akajie niiaŋ bɔ ni akɛ mɔ ko maŋ ni ejɛ lɛ agbojee miitsu nii yɛ hegbɛi nɛɛ agbɛfaŋ, kɛji maŋ lɛ ena heyeli jio, aajɛ maŋ kroko nɔ aakwɛ esaji anɔ jio, enako heyeli jio, aloo ehɔ nɔyeli ko shishi fã kɛ fã.
03-00	Gbɛjianɔtoo 3
03-01	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ ehiɔ wala nɛɛ mli, akɛ ena heyeli, koni akwɛ ni efee shweshweeshwe hu.
04-00	Gbɛjianɔtoo 4
04-01	Esaaa akɛ ayeɔ mɔ ko nyɔŋ, aloo ahaa esɔ̃mɔɔ mɔ ko bɔ ni ejaaa gbɛ; aahi nyɔŋyeli kɛ gbɔmɔhɔɔmɔ gbɛjianɔtoi srɔtoi fɛɛ.
05-00	Gbɛjianɔtoo 5
05-01	Esaaa akɛ akɛ yiwalɛ nyɔtɔ̃ɔ mɔ ko, aloo akɛ ehiɛ tsumɔɔ shikpɔŋ, aloo afeɔ lɛ anisenii kɛgbalaa etoi.
06-00	Gbɛjianɔtoo 6
06-01	Mlanaa lɛ mɔ fɛɛ mɔ yɛ hegbɛ akɛ akɛ woo haa lɛ akɛ gbɔmɔ adesa.
07-00	Gbɛjianɔtoo 7
07-01	Mlanaa lɛ mɛi fɛɛ yeɔ egbɔ, ni esa akɛ akwɛ koni mɔ fɛɛ mɔ afee shweshweeshwe bɔ ni hiɛiaŋkwɛmɔ ko kwraa bɛ mli. Esaaa akɛ akwɛɔ hiɛiaŋ yɛ mɔ ko mɔ ko gbɛfaŋ kɛji aye lɛ sane ko ni kɛ kpaŋmɔ nɛɛ kpãaa, aloo awo yiŋ koni afee nɔ ko ni kpaŋmɔ nɛɛ eŋmɛɛɛ he gnɛ.
08-00	Gbɛjianɔtoo 8
08-01	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ ebiɔ koni kojomɔhe ko aye esane eha lɛ bɔ ni hiɛiaŋkwɛmɔ bɛ mli, kɛji aye lɛ toikɔdɔmɔ sane ni teɔ shi eshiɔ kpaŋmɔ nɛɛ, aloo Maŋ Mlatso lɛ, aloo hegbɛ ni eyɔɔ yɛ mlanaa lɛ.
09-00	Gbɛjianɔtoo 9
09-01	Esaaa akɛ amɔɔ mɔ ko, aloo atsiɔ enaa, aloo atswaa enaneshi tu kɛji aboteko sane ko ni akɛshi lɛ mli jogbaŋŋ.
10-00	Gbɛjianɔtoo 10
10-01	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ kɛji ena sane ko lɛ, ajinafoi ni ahe bɛ sane lɛ mli akojo lɛ bɔ ni hiɛiaŋkwɛmɔ bɛ mli, ni asaŋ amɛbo egbee toi kɛmɔ shi.
11-00	Gbɛjianɔtoo 11
11-00	Kɛji mɔ ko na sane ni sa toigbalamɔ lɛ esaaa akɛ abuɔ lɛ fɔ yɛ najiaŋ, bɛja akojo lɛ yɛ maŋ hiɛ, bɛiaŋ ni aha lɛ hegbɛ fɛɛ ni sa akɛ ena kɛfã ehe jogbaŋŋ hu.
11-01	Esaaa akɛ abuɔ mɔ ko fɔ ni sa toigbalamɔ kɛji efeee aloo efee nɔ ko yɛ maŋ mlanaa aloo jeŋmaji ateŋ mlanaa, kɛji beiaŋ ni afo sane lɛ afɔ enɔ lɛ awoko nakai mla lɛ. Ni esaaa hu akɛ toigbalamɔ lɛ naa waa fe bɔ ni mla lɛtsɔɔ nakai beiaŋ lɛ.
12-00	Gbɛjianɔtoo 12
12-01	Esaaa akɛ akɛ he woɔ mɔ ko teemɔŋ sane, eweku, eshia, aloo ekɛ mɛi ateŋ shãramɔ saji amli, ni esaaa akɛ agbeɔ mɔ ko he guɔ hu. Mɔ fɛɛ mɔ yɛ hegbɛ akɛ mla fãa ehe yɛ enɛmɛi agbɛfaŋ.
13-00	Gbɛjianɔtoo 13
13-00	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ eyaa he fɛɛ he ni esumɔɔ, asaŋ ni ehiɔ maŋ fɛɛ maŋ ni esumɔɔ mli hu.
13-01	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ eshiɔ maŋ ko nɔ, kɛ lɛ diɛŋtsɛ emaŋ tete, ni eyɛ hegbɛ hu akɛ ekuɔ esɛɛ kɛyaa emaŋ ekoŋŋ.
14-00	Gbɛjianɔtoo 14
14-00	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ eyabaa abo yɛ maŋ kroko nɔ kɛjo yiwalɛ naa foi.
14-01	Akɛ hegbɛ nɛɛ tsuuu nii kɛji yiwalɛ nɛɛ ejɛɛɛ efɔŋfeemɔ ni kɔɔ maŋsaneyeli he, aloo ejɛ nifeemɔ ko ni kɛ Jeŋmaji Ekomefeemɔ Ku lɛ yiŋtoi kɛ gbɛjianɔtoi lɛ kpãaa.
15-00	Gbɛjianɔtoo 15
15-00	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ ana lɛ akɛ maŋ ko nɔ nyo.
15-01	Esaaa akɛ ahaa mɔ ko ŋmɛɔ maŋnyo hegbɛ ni eyɔɔ bɔ ni mla eŋmɛɛɛ gbɛ, aloo aaatsi enaa koni ekanyɛ etsake ejiakumaŋ.
16-00	Gbɛjianɔtoo 16
16-00	Esaaa akɛ hewolo su, loo maŋ nɔ ni ajɛ, loo jamɔ mli ni ayɔɔ tsiɔ hii kɛ yei ni eshɛ gbãla gbɛ akɛ amɛkabote gbãlashihilɛ mli kɛwo shwiei. Amɛboteko gbãlashihilɛ mli jio, amɛbote gbãlashihilɛ mli jio, amɛfo gbãlashihilɛ mli jio, esa akɛ ana amɛ akɛ amɛyeɔ egbɔ.
16-01	Ja mɛi enyɔ nɛɛ ekpɛlɛ nɔ dani amɛbaanyɛ amɛbote gbãlashihilɛ mli.
16-02	Weku ji maŋ shikwɛ̃e, ni ehiaa akɛ abaa yi.
17-00	Gbɛjianɔtoo 17
17-00	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ enaa lɛ diɛŋtsɛ enii, aloo ekɛ mɔ kroko feɔ ekome kɛnaa nii.
17-01	Esaaa akɛ ashɔ̃ɔ mɔ diɛŋtsɛ nii ni eyɔɔ yɛ edɛŋ bɔ ni mla eŋmɛɛɛ gbɛ.
18-00	Gbɛjianɔtoo 18
