00-00	Dunya Kish Haklari Beyannamesi
00-01	Kish oyenihxi heme üyelerinde dogal haysiyet ma adil ma degishmez haklarne tanishi, dunyade hürriyet, adalet ma barishnihxi temeli der,
00-02	Kish haklarine aldirmagusi ma gücendirgusi barbar eylemler volji, bular kishlernihxi vicdanne kirletji. Heme kishler konushma ma inanch hürriyeti varber dihxen, korku ma kitlik yokhber dihxen duyan gelgusi, kishlernihxi bikhiden bikhi hayal der, bildirji,
00-03	Kishler zulüm ma baskihxe azitmesishe vule, hukuk kish haklarine korugi,
00-04	Ülkelernihxi dostlukine gelishtirgi,
00-05	Birleshmish milletlernihxi kishleri Birleshmish Milletler Tüzükinde temel kish haklari, kish haysiyeti ma değeri ma er gatin adil hakihxe inanchne bildirji, goder bije jatakh hürriyetde toplum ma hayat gelishmesine kolaylashtirgar,
00-06	Üye ülkeler ma Birleshmish Milletler ishbirligiden kish haklari ma temel hürriyetne ortak uygusi ma etgusine desteklegusine küfretji,
00-07	Bu haklar ma hürriyetlerne ortak bilgusi bu küfretgusine tam gerchekleshtirgusihxe jatakhchukh ehemmiyet var,
00-08	Inji,
00-09	Jatakh Montaj,
00-10	Bu Dunya Kish Haklari Beyannamesine yayinlar, heme kishler ma heme ülkelernihxi emekden gerchekleshtirhxur dihxen ortak standart volerer. Heme kishler ma heme toplum bünyeleri hergun bu beyannamene gilage, emekden orhxetgusi ma egitimden haklar ma hürriyetlerne uygusi desteklehxi, ulusal ma uluslararasi ilerici adimlerden bu haklar ma hürriyetler heme üye ülkelernihxi kishlerinde ma yerlerinihxi kishlerinde ortak ma etkili tanima ma etgusine dehxirgi.
01-00	Ber
01-01	Heme kishler hür der, haysiyet ma haklarde adil der, mantik ma vicdan var, kardeshlikden davraneshge.
02-00	Igi
02-01	Heme kishler bu beyannamede pidihxen heme haklar ma hürriyetler varber dihxen hak var, irk, renk, cinsiyet, dil, din, siyasi ene bashga fikir, yurttash ene sosyal menshe, mal, dalagusi ene bashga durumden ayirt etmehxi.
02-02	Kishnihxi ülkesi ene yerinihxi siyasi, yargi ene uluslararasi farklarden ayirt etmehxi, bu yer hür, ishletin, otonomy yokhder ene bashga egemenlik sinirlamasi var, yeshamahxe.
03-00	Uj
03-01	Heme kishler hayat, hürriyet ma emniyet varber dihxen hak var.
04-00	Diot
04-01	Heme kishler esaret ene kullukde varmahxe. Heme bichimnihxi esaretleri ma esir ticaretleri varmahxe.
05-00	Besh
05-01	Heme kishler ishkence, zalim, merhametsiz ene küchültücü muamelelerne ene cezalarne almahxe.
06-00	Alte
06-01	Kishler gada heme hukuk ilisinihxi kishlikine taninber dihxen hak var.
07-00	Yide
07-01	Hukuk iliside heme kishler adil der, hukuknihxi adil korumasi varber dihxen hak var, nang fark volsa varmahxe. Bu beyannamene bozber dihxen nang ayirt vosa ma bu ayirtne ayartber dihxen nang eylem vosanihxi zararine kachinishe vule, kishler adil koruma varber dihxen hak var.
08-00	Sekis
08-01	Kem vosa anayasaden ene hukukden algan temel haklar bozenji, uygun ulusal mahkemeden bu bozeshe uygun charene etber dihxen hak var.
09-00	Doqus
09-01	KIshne rastgele yakalamahxe, tutuklamahxe ene chikarmahxe.
10-00	On
10-01	Haklarine ma yükümlülüklerine belirleshe vule, kishler hür ma fedakar mahkemeden adil ma kamu deneme etinber dihxen hak var.
11-00	On ber
11-00	(Ber) Ceza ücretleri algusi, hukukden ma kamu denemeden such var onaylamaji, such yokhder sumurlanber dihxen hak var. Deneme heme cevap garantiler vargoge.
11-01	(Igi) Cezade kem vosanihxi eylemi ene ihmali, olgande ulusal ene uluslararasi hukukden heme such volmesesh, such yokhder. Cezalandirma cinayet ishlehxende jaregan hukuk hükümine ashmahxe.
12-00	On igi
12-01	Kem vosanihxi gizlilikine, oyene, yurtine ene yazishmasine rasgelechukh karishmahxe, onurine ma itibarine bozmahxe. Bu karishishne ma bozeshne kachinishe vule, kishler hukukden korungi.
13-00	On uj
13-00	(Ber) Heme kishler heme ülkelerde jilenber dihxen ma otber dihxen hürriyet var.
13-01	(Igi) Kish nang ülke vosaden chikhgur dihxen hak var, bularde ülkesi var, ülkesihxe yangur dihxen hak var.
14-00	On diot
