00-00	LAPAN RUNAKUNA IMANAWPA RISPITASH KAYÄNANPAQ KASHQANKUNA KAYNAW NIRMI QALAYKUN
00-01	Lapan runakunapis libri kananpaq, jusayuqkunata kastigakänanpaq y iusaynaqkunata mana kastigaypa y piwanpis mana pelyaypa kushish kay pasachaw kawayqa kanqa ali; runakuna imanawpis kashqanta mana qechuymi y lapan runakuna yarpashqankunatapis mana michashqa kananpaq;
00-02	Runakuna rispitash kayänanpaq kashqanta mana reqiypami y reqiykarpis iarukuyashqanta kanan yarparkushqaqa seqaypa ajanaypaq kaptinmi kanan lapan runakunapis alichaw kananta munayashpämi kaykunata wilakuyä. Lapan runakunapis ali kawakuyman chaykur; mansakuypita y pishëpakuypita librash karqa, munashqannawmj lapantapis parlakuyanqa y munashqanmanmj krigikuyanqa;
00-03	Lapan kaykunatamj rurakänan, runakuna shumaq rispitash kayänanpaq. Saynawpaqa runakuna manami yarpäyanqasu imaykanawpapis awturdäkunapa kontran sharkuyta y tukuynawpa nakasikuqkunata elaqäsiyta;
00-04	Saynawmi ali kanman lapan nasyunkuna shumaq wilanakur tukuynawpa jukninwan jukninwan yanapänakur aruyaptin; Askaq nasyunkunapita runakuna shuntakaykärir, rasunpaypa alimi niyashpan yärakuyan, runakuna rispitash kayänanpaq niyashqan qelqaraykaqman. Kay qelqaraykaqchawqa kaykan runakuna rasunpa rispitash kananpaq, lapan runakunapis mana jarukushqa kayänanpaq, warmipis olqupis rispitash kayänanpaq. Saynawpami rasunpa kaykuna rurakänanpaq wilanakuyashkä lapan markakuna y nasyunkuna ali kayman chäyänanpaq, lapan runakunapis ali kawayänanpaq, saynaw kashqanta musyar runakuna librina kar shumaqna kawakuyanqa;
00-05	Kaychaq lapan runa qotukaqkuna awniyashqa lapan kaykunata rurananpaq, askaq nasyunkunawan wilanakur yanapänakuypa lapan runakuna rispitashqa kayananpaq. Runakuna lapan rispitash karqa rasunpaypami y librimi kakuyanqa ali kaqkunataqa rurayanqa munayashqannaw, y;
00-06	Lapansikunapis juk yarpayla, kay runakuna rispitash kayänanpaq, pipis mana jarukushqa y Iibri kakuyänanpaq yarpashqaqa seqay alimi kanqa; saynaw rurashun nishqansikuna lapan rurakänanpaq.
00-07	ALI YARPAY KAPTIN KAYKUNATAMI WILAKUYAN KAY PASACHAW LAPAN RUNAKUNA RISPITASH KAYÄNANPAQ NIYASHQAN
00-08	Lapan markakunapis, nasyunkunapis juk yarpayla yawayänanpaqmi lakipakuyänan imaykanawpapis. Saynawpaqa lapan runakunapis y mandaq awturdäkunapis, kay wilakuyashqäman yarpakushla kayashpanqa, shumaq juknaw alitana rurayanman yachasiyashpan y yachakuyashpan. Saynawpami mansapakuypa rurayänan, runakunata mana jarukuypa rispitana kashqanta y libri kashqankunata, Saynawpaqa yarpänansj lapan nasyunninsik y juklä nasyunkuna ali kawayman chananpaqmi. Kaykunataqa musyayänan y lapan runapis nishqannaw rasunpaypa rurayänan, lapan qotukaq runakunapa markankuna, nasyunninkun y wakinkaq kay nasyunpa ruñnkunachaw kaykaq markakunapis.
01-00	NISFIQAN JUK (1)
01-01	Lapan runakunapis yurikuyan librimi y wakinkaqkunanaw rispitashqa, mana jarukushqa kayänanpaq. Saynawmi runakunaqa yuriyan shumaq yarpayyuq, alitapis mana alitapis reqiykar y seqay kuyapäkuyyuq. Saymi runakuna ali kawakuyänan jukninwan jukninwanpis.
02-00	NISHQAN ISHKAY (2)
02-01	Lapan runakuna rispitashqa y mana jarukushqami kayänan y ali kananpaq wilakuyashqächaw nishqannaw librimi kayänanpis. Manami chikish kanansu juk kasta kashqanpita yana o yuraq kashqanpita, warmi ni olqu kashqanpita, imanawkaq parlayta parlaq kashqanpita, imamanpis krigishqanpita,
02-02	Saypis manami bäjuman churashqa kanqasu mayqan alikaq o mana alikaq niyänansu, runakuna markakunata mandananpaq askaq shuntakaykuptin, runakuna mana jarukush kananpaq alita ruraqkunata o lapan nasyun runakunapaq o mayninpapis markankunapa siñalninkuna rurinchaw juk runa mandaq kaptin. Saynaw kanman juk nasyun marka, pipis mana mandash kaptinpis y markakunapa siñalninkuna surinchaw shumaq imanawpapis rurayta mana kamäpakuq kayaptin o kikinkuna mana mandar juk mandash karpis o juk marka seqaypa mandar imaykapitapis michashqa imanawpis nishqanchaw kanansu manami.
03-00	NISHQAN KIMSA (3)
03-01	Lapan runakunapis shumaq rispitashqami kawakuyänan, librimi imaykapitapis kakuyänan y imapis päsananta awturdäkuna rispitasinan ali kakuyänanpaq.
04-00	NISHQAN CHUSKU (4)
04-01	Manami pipis ashmayman churashqa kanansu ni pipa tukuy rurayninkunapaq kanmansu. Ashmaykaq y ashmayta saray; runakuna imanaw rurananpaq kaqkunachawqa pasaypami michar kundinan lapankunatapis y tukuynawpa ashmay saraqkunatapis.
05-00	NISHQAN PISQA (5)
05-01	Manami pipis fiyupa nakasishqa ni lakipaypaq o munashqannaw nakasishqa, runa kashqankunata mana kuyapaypa tukuyta nishqa kanansu.
06-00	NISIlQAN SOQTA (6)
06-01	Lapan runakunami maysaychawpis seqaypa rispitashqa kanan y runa kaynintapis saynaw rispitasikunan, pipis mana jarukunanpaq.
07-00	NISHQAN QANCHIS (7)
07-01	Runakuna imatapis rurananpaq kashqankunachawqa lapansipis iwalmi kansi. Saynawmi pitapis ali kashqanta ni mana ali kashqanta mana akraypa, runakuna rurananpaq kashqanwan sapakuyänan tukuypita. Lapan runakunami iwal rispitasikuyänan, wakin runakuna jamurpar jarukur ushayänanpita y manakaqkunata parlarkur, kay runa rispitash kananpaq wilakuyashqäkunapjta kontran parlar puriqkunapita y luta jarukur ushash kananpita.
08-00	NISHQAN PUWAQ (8)
08-01	Lapan runakunapis kejakuyänanmj, jatusaq kay nasyunchaw kaq awturdäkunaman, runa rispitash kananpaq kashqankunata pipis jarukur ushaptin, awturdäkunapis sapänanmi, imanaw runakuna rurananpaq kashqanchaw parlashqannaw saypaqmi qelqaraykan, saywan pipis sapakuyänanpaq.
09-00	NISHQAN ESQUN (9)
09-01	Manami mayqan runatapis luta la sarir kalapósuman apar wechqaräsinansu, ni markanpita jukläman jitar ushashqaqa kanansu.
10-00	NISHQAN CHUNKA (10)
10-01	Lapan runakunami rasunpaypa Iapanpis iwal kayayninpa, aska runakunapa puntanchaw wiyashqa kanan jusan o mana jusan kaptinpis y juk awturdäta wilapänan. Kay awturdäqa manami mayqanpaqpis faburnin sharkunansu lutalaqa, jukninpaq jukninpaqpis. Saynawpami musyanqa mayqankaq ali rispitash kananpaqpis y imanaw rurananpaqpis. Saynawpami musyanqa mayqan jusayuq kashqanta y mayqan jusaynaq kashqantapis. Niykurnami isanqa imanawpis ruranqa wechqananpaq o mana wechqananpaqpis.
11-00	NISHQAN CHUNKA JUK (11)
11-01	Ima jusanpitapis mayqan runa kejashqa karpis, manaraq rasunpaypa jusan kashqanta musyakashqanyaqqa imaykanawpapis rispitasikunanmi jusaynaqlaraq kashqanta. Saynaw rispitasikunan lapan runapa nawpanchaw rasunpa mana jusan kashqanta y runa kashqanta mana jarukuyänanpaq.
11-02	Manami pipis kondinashqa kanansu imatapis mana rurash kaykaptinqa o imatapis ruraykashqanta jinan öra mana taripash kaptinqa; imanawmi nin runakuna rispitash kananpaq wilakuyashqankuna, kay nasyunpaq y juklä nasyunkunapaq saychaw nishqannaw. Jusankunapita kastigashqa kananpaq kaqkunapita mastaqa manami nakasir kastigakänansu jusan kaptinpis.
12-00	NISHQAN CHUNKA ISHKAY (12)
12-01	Manami mayqan runatapis pipis lutaqa imatapis rimapänansu shuyni kawakuqtaqa, kastankunatapis, wayinkunata o paypa kaqtaqa imantapis; imanaw ali o mana ali kakuptinpis, runa kayninta chikipänansu. Lapan runakunami sapakunan, runakuna imanawpis rurananpaq kaykashqanchaw qelqaraykaqwan, tukuynawpa imaykatapis manakaqpita rimapänanpita.
13-00	NISHQAN CHUNKA KIMSA (13)
13-01	Lapan runakunapis librimi purikuyänan maysaypapis. Saynawmi may nasyunchawpis rurakunan wayinkunata saychaw täkunanpaq.
13-02	Lapan runakunapis yarquyänanmi may nasyunpitapis, kikinpa nasyunninpita juk nasyunman y niykurpis saynawmi kutikunan nasyunninman.
14-00	NISHQAN CHUNKA CHUSKU (14)
14-01	Mayqan runatapis wakinkaqkuna imapitapis qatikachaptinqa kikin ashinan maychawpis ali täkunanpaq. Saynawpami kushish täkunqa mayqan nasyunchaw karpis.
14-02	Kay wilakuyashqäkunaqa manami pasaypapis joqarishqasu kanqa mana alita ruraqkuna, alichaw yarqunanpaqqa ni noqakuna askaq wi!anakurkur "ali kananpaq" nir wilakuyashqäpa kontran yarpaqkunatapis manami yanapanqasu.
15-00	NISHQAN CHUNKA PISQA (15)
15-01	Lapan runakunapis kayanan juk nasyunchaw yurishqalami.
15-02	Manami mayqan runatapis lutaqa michänansu pipis nasyunninpita ni juk!ä nasyuriman aywaykur täkunantapis manami michashqa kanansu.
16-00	NISHQAN CHUNKA SOQTA (16)
16-01	Olqupis warmipis tyempunman charnaqa, pipis mana michashqami kasarakuyänan. Manami michashqa kayänansu juk kolur qarankuna kayninpa, juklä nasyun kayninpa, imanawpis krigiq kashqanpita. Lapanpis kasarar shuynina täkuyänan wayita ruraykur, shumaq täyänan lapanpis rispitanakur kasaraykärirqa. Saynaw kayänan imayyaqpis kasarashqa karqa y rakikarpis saynawmi iwalpura imatapis rakipänakunan.
16-02	Warmi olqupis rasunpaypa munanakur imayyaqpis kasarar täyänanpaq awninakush kaqkunami kasarayänanqa.
16-03	Juk ayllumi kikinkaq umanqa y seqay alikaqqa lapan marka kananpaqpis. Saymi lapan markakunapi rispitasinan ayllukuna mana jarukush kananpaq y nasyun mandaqkunapis rispitasiyänan.
17-00	NISHQAN CHUNKA QANCHIS (17)
17-01	Lapan runakunapami wayinkuna y chakrankuna kanan, juk runalapapis kanmanmi y askaq qorikash runakunapis saräyänanmi.
17-02	Wayinkunapita y chakrankunapita manami pipis qarqushqa kayänansu.
18-00	NISHQAN CHUNKA PUWAQ (18)
18-01	Lapan runakunapis librimi yarpachakuyänan, kuyapäkuyninpis ali o mana alipis kakunan y munashqanman imamanpis krigikunman. Saynawmi munarqa trukasinan jukman krigishqanpita jukkaqmanpis. Imamanpis krigirqa wakinkaq runakunatapis wilapänan y parlanan krigishqanpaq. Parlayänanmi juk juklapis o askaqpis, askaq runakuna wiyananchawpis o shuyni wayinkunalachawpis, yachasiyashpan, wakinpis rurananpaq, alikaqta rurar y lapantapis shumaq ruraypa.
19-00	NISHQAN CHUNKA ESQUN (19)
19-01	Lapan runakunapis yarpäyashqannawmi parlayänan y rimakuyänan imanaw ali y mana ali kashqantapis. Saynawmi imanirpis parlaptin pipis rimanansu ni qayapar ajanäsinansu imapaqpis rimakushqanpita. Wiyashqankunatapis rasunpa kashqanta shumaq mayapakunan, tukuy wilakuykunatapis chaskinanmi y chaskinan wakinkaqkuna imanaw yarpäyashqankunatawan. Saynaw wiyashqanta, chaskishqanta y yarpashqankunata lapan runakunata musyasinan munayashqannaw imaykatapis mana michashqa lapannawpa imawanpis runata wiyasina y mayasina kaqkunawanqa.
20-00	NISHQAN ISHKAY CHUNKA (20)
20-01	Lapan runakunapis librimi yorikäkuyänan y askaqpis shuntakäkuyänanmi imatapis alikaqkunata rurayänanpaq pipis mana michashqa.
20-02	Mana munaykaqtaqa manami pitapis shuntakäyashqanchaw kananpaq apayänansu.
21-00	NISHQAN ISHKAY CHUNKA JUK (21)
21-01	Lapan runakunapis nasyunninchaw mandaq kayman char yanapänakuyänanmi, kikinkuna karpis o alinninta y yachaqninta shumaq akraykärirpis mandaq kananpaq churakuyänan librimi.
21-02	Lapan runakunapis iwalmi ima kaymanpis chäyanan, nasyunninkunachaw ima kaymanpis chäyänan, nasyunninkunachaw ima awturdäpis kayänan y ima aruymanpis yaykuyänan wakinkaqkunanaw.
21-03	Markachaw pipis awturdä mandaq kananpaq, lapan runakunami awniyänan ali kashqanta. Lapan runakuna pipis awturdä kananpaq awniyashqantaqa musyakanqa bötuwanmi, kikinkuna churakuyanqa pi kananpaqpis. Saynaw rurayanqa bötu kashqan örala, lapanmi bötayänan pakaylapa, pipis manami michänansu ni juklaylapaq jitananpaq parlapänansu, lapanpis iwalmi rurayänan. Librimi pipaq karpis jitakuyänan bötunkunachaw.
22-00	NISHQAN ISHKAY CHUNKA ISHKAY (22)
22-01	Lapan runakunapis, marka runa kayninpa y juk markachaw taq kayninpa, lapan awturdäkuna markachaw rispitasinan pipis mana jarukunanpaq y ali kawakuyänanpaq. Saynawpami shumaq kawananpaq tarinqa lapan nasyunchaw kaq runakuna lakipakuyninpa y wakinkaq nasyunkunawanpis yanapänakuypa, wakin shuyni qorikaq runakunawan y nasyunchaw mandaq runakuna churakushqan y rurayashqankunawan. Saynawpami lapan runakunata imanpis mikunanpaq o rantinanpaq pishipakuptin qonqa, lapan markakunapaqpis y imata yachakuyänanpaqpis kanqa gastunkuna, kaykunami mana pishiypa kanan lapan runakunapaq, shumaq rispitash runa kayänanpaq. Y saynawmi runakunapis lakipakuyänan kikinkunapa jamulankunapita ali runa kayänanpaq.
23-00	NISHQAN ISHKAY CHUNKA KIMSA (23)
23-01	Lapan runakunapami ima aruylankunapis kanan; kikinkunami ima aruychaw aruyänanpaqpis akrakuyänan, aruyninkuna alimi kanan, imaykanpaqpis aypäpakunanpaq y arunanpaq tupuylami kanan y runakunaqa manami aruyniynaq kayänansu.
23-02	Lapan runakunapis ali kashqanta ni mana ali kashqanta mana rikapaypami aruyashqankunapita chaskiyänan qellayta y lapan aruqkaqkunaqa iwal, saynawla chaskiyänan.
23-03	Lapan runakunapis aruqkaqkunaqa iwal shumaq ali pägashqami kayänan imata munashqankunatapis rantiyänanpaq aypaq. Saynaw qellayta chaskir lapan kastankunata wayinchaw kaqkuna shumaq kushishqa kawakuyanqa, lapan runakunapis alila kawananpaq kashqannaw. Saychawpis pishipakuptinmi isanqa imaykanawpapis wakinkaq awturdäkuna waksakunata yanapaqkuna aypasipänan pishipakushqalanmanna.
23-04	Lapan runakunapis ali yarpashqankunawan say shuyni alita yarpaqkuna rurayänanmi qotukaykur. Saynaw shuyni kaqkunaqa ali yarpayninkunawan rispitasikur pipis kikinpaq kaqkunata o lapan runapaq kaqkunata mana jarukuyänanpaq kashqanta rispitasikuyänanpaq.
24-00	NISHOAN ISHKAY CHUNKA CHUSKU (24)
