00-00	DAVQTAV COLPYUQ EILDOQ
00-01	Byulssaq aqnaol yoqhhovq yoqhaol e colssaq jav wuq bo e colpyuq, meeqduq, aqsol liq qiq kov bi dei e xil mol laoq,davqtav byulcol jol sal bi duv e daoqpeiq nga.
00-02	Colpyuq yaol maq hu dav ssolnei hu nil zaq e taoqgao gaomiaoq xil mavq, byulssaq aqnaol e neemeeq zaolcavq lal alnei, col aqsol liq doq taol yal, aqsol liq aqsol sol e aqpyuq saolpyuq qivq ya slq, laol ngaoq aqya maq bi naqguv, maq bi saolsaq laqmeil e huvqlavq bi hev lal e xil mol laoq aolzaq ssaq laol hal pyuqzeiq e neenyuq nga leil bi eil loq.
00-03	Byulssaq aqnaol yoqhha meeqduq haoqleev movq bal nei, ssyuqbeil cei lal e salcol naogo wuqhol jil lal e maq nyuq meil tuv kavq lei e miaoqdyul maq bi duv movq bal nei,col e colpyuq yo’liq nei haoqleev qivq laq meil e laolkaol kaol movq.
00-04	Goqjal kalla gaqqo hhyulqoq meiqzaq zeqlal leil bo alnei, Lieiqhoqgoq goqjal e ssaqlaol lielqhoqgoq xieifzal hholqei nei yoqduhhaq e zaoma nei colpyuq,meeqyaovq ssolnei hhaqpyuq eilloq pal, miqyo qiq kov bi dei e doqcaol liq bi zil lal,xil mol lo'qo meil coljol aqzeiq bi sal e huvqlavq bi duv lal movq.
00-05	Lielqhoqgoq tao'li laq e goqjal hal mol liq lieiqhoqgoq naogo bao alnei,colpyuq ssolnei zaoma nei yoqjol yoqpyuq hal yil milnia bi hupyuq ssolnei saolpyuq movq bal nei.
00-06	Colpyuq ssolnei yoqpyuq xil mavq dyu nei hu loq nia alngaoq,dalja neenyuq lo'qo miqnieiq aol meeq qivq gaoq.
00-07	Xilmeil nei niaoq'aol,
00-08	Doq zil,
00-09	Davqtav coljol pyuq e eildoq xil mol eil gaq,haljol e ssaqlaol ssolnei haljav e goqjal hhaqhav tivq meil aol hev miaoqma bi gee, col hal qiq col ssolnei seiqhyuf jilgef hal qiq mol meil cev cev nei eildoq xil kaoq bi zol nyuq, yohav meil meiqnyuq miq ssolnei meiqgaol miq alnei colpyuq ssolnei yoqpyuq yaol bi hu dav, goqjal ssolnei goqjif lulsul dalqeiv yaol dal alnei, col e colpyuq ssolnei yoqpyuq xil mavq, hyufyeiqgoq yolsaol alka, eildoq xil kaoq dyu nei bi qeq movq dyu neibi nalhaq movq:
01-00	YOBEI QIQ KAOL
01-01	Aqsol liq yoqdeivq yoqpyuq bo, meeqyaovq ssolnei colpyuq qiq kov dei. Davqtavcolssaq neenyuq bel neema meeq ya siq, laongaoq meilnaol nadul meil e gaq ssol hhyul hha bavqduv nia.
02-00	NIQKAOL QIQ KAOL
