00-00	ALIMA NUNG ALIR MEIMCHIR AJAK ATEMA KASA TEMETEN SANGDONG
00-01	Kechiaseralima rangben nung nung nisung ka tim temeten aser kasa alitsüsa metentepa yutsübaji meimchir kibong ochi, nüji aser yimjung tamendakdak kimung lir,
00-02	Kechiaser mezüng meshitepba, aitsütepba, mashimalu mapa inyakba, meimchir tim tejembitsü mejembidaktsüba, aser pei tebilemba rakpoka meshidaktsüba item ya ajanga meimchir nüji tia raksatsür,
00-03	Kechiaserkodang anema apusoba aser oshi mashi rongsen benshirtemi nüburtem temeten aser nüji tia raksatsüdir, meimchir temeten ozüng ajanga itemji kümzüka ayutsüla,
00-04	Kechiaser kintem tsüngda yimjung yangluba ajanga alima terenlok adokdaktsür, ibaji mapang ajak nung nungittsüla,
00-05	Kechiaser United Nations Temzüng nung meimchir temeten aser nüjiba wazüka ayutsüba itemji lemteta alinung, tebur aser tetsür tsüngda tepila kecha malitsüla, saka ibai loktiliba tasen küma yanglushiba ajanga dang nüjibaji tongtettsü.
00-06	Kechiaser United Nations nung adener ajaki ibaji atalokdakja inyaktsü nangzüktepogo, aser meimchir ka temeten aser nüibaji kümzüka ayutsü mulunga renemogo.
00-07	Kechiaser iba tenangzükba takok ngudakja inyaktsübaji teinyaktsü tongtibangtiba ta ajaki anagtetogo,
00-08	Anungji, tang, Lokti Inti Sendeni Alima rangben nung Meimchir Temeten ya takok ngua lokti aser kin ajak nung inyaktsü Sangdonger, iba Sangdong ya maneni temulung nung yur li maser lim atena or, terenlok mapa shisatsü sayuba ajanga angazükdakja, pei litsü atena oa inyaktsü sangdonger.
01-00	Ocet 1
01-01	Meimchir ajak temeten aser tashi kasa nüji nung asor. Parnok dak bilemtettsü shisatsü aser tangatetba kasa agüja aliba jagi külem adianu rongnung tanela ka nung lungjema alitsüla.
02-00	Ocet 2
02-01	Iba sangdong nung kechi temeten shilemsa ali, nisung sentsü balala, tetsür tebur, oshi,aser yamala ajak nung telemsa aser tebendang kecha melii nisung shia tim temeten kasa alitsü.
02-02	Talisa, kin tulu tila, limeka, aser arrtsü balala ajaklen nüjiso tsütsü telemsa kecha mali.
03-00	Ocet 3
03-01	Nisung ajak sakusa alitsü, nüji, aser kümzüka alitsü temeten.
