00-00	Deklarasaun kona ba Ema tomak nia Direitu, iha mundu raiklaran
00-01	- atu bele moris ho liberdade, ho justisa, ho damen iha mundu, ema sei hatene hodi halo tuir katak hotu hanesan, iha direitu hanesan.
00-02	- tan lakohi simu, tan heuuai ema nia direitu maka ema balu halo aat, halo susar ema seluk; fo sai lia hirak ne’e atu ema tomak bele moris hakmatek, bele hateten e fiar tuir nia hakarak.
00-03	- atu tahan ema tomak nia direitu tuir ukun ho justisa, nune’e ema lalika foti liman hodi funu hasoru ema aat, hahalok aat.
00-04	- atu buka hametin damen iha nasaun tomak.
00-05	- iha Surat Deklarasaun ne’e, Nasaun tomak fo sai katak ema tomak iha direitu, iha otak, iha folin, ema hotu hanesan feto ka mane; nasaun tomak sei buka tulun malu atu ema bele moris di’ak, ema hotu bele moris ho liberdade iha dalan los.
00-06	- Nasaun tomak iha O.N.U. tau lia ba malu atu hamutuk tulun ema moris ho direitu ho mos liberdade.
00-07	- atu ema tomak halo tuir lia hirak ne’e be foin hateten, hodi tau metin ba laran.
00-08	Asembleia Boot
00-09	Fo tada iha Deklarasaun kona ba Ema tomak nia Direitu atu hatudu dalan los ba povu tomak, ba nasaun tomak, nune’e ema tomak, klibur tomak, ukun tomak, ho neon metin, buka hanorin, hanorin lisan los, hodi habelar ema nia direitu ho liberdade; halo ema tomak tuir lia ne’e be fo sai iha nasaun ida laran, iha nasaun seluk laran, hodi moris tuir dalan ne’e be Nasaun tomak foin fo tada iha Deklarasaun ne’e.
01-00	Artigu 1
01-01	Ema tomak moris hanesan, ema tomak hanesan, iha direitu hanesan. Ema tomak iha otak ho neon, hotu-hotu sei buka moris hanesan maun ho alin.
02-00	Artigu 2
02-01	La bele haketak ema ida tan noin politik, tan ukun rai ida nian, iha rai ne’e duni, iha rai ne’e be ukun ona an, e iha rai ne’e be sei dauk ukun-án.
03-00	Artigu 3
03-01	Ema ida-idak iha direitu atu moris, moris ho liberdade, hodi hetan mos tulun ba nia an rasik.
04-00	Artigu 4
04-01	Ema ida la bele moris hanesan ata; sei halakon hosi raiklaran hahalok ne’e be lori ema seluk moris hanesan ata.
05-00	Artigu 5
05-01	La bele halo aat ba ema ida, la bele halo ema terus naran de’it.
06-00	Artigu 6
06-01	Ema tomak iha direitu, naran iha fatin ida, atu ema seluk simu nia hodi hatene katak nia mos ema.
07-00	Artigu 7
07-01	Ema tomak hanesan iha ukun, tan ukun sei tahan ema tomak. Ema hotu iha direitu atu hetan tulun uaihira monu ba susar e bele hetan susar tan ninia direitu, tuir Deklarasaun ne’e.
08-00	Artigu 8
08-01	Ema tomak iha direitu atu buka tulun hosi ukun sira, iha nia rain rasik, uaihira hetan susar tan ema seluk lakohi hatene nia direitu.
09-00	Artigu 9
09-01	La bele dadur let, la bele kair e duni sai naran ema ida hosi nia rain.
10-00	Artigu 10
10-01	Ema tomak iha direitu atu hetan justisa, uaihira monu ba sala; nia salan sei hetan justisa tuir dalan los hodi fo kastigu ki’ik e boot, tuir hahalok ne’e be nia halo.
11-00	Artigu 11
11-01	Uaihira foti lia ruma hasoru ema ida, molok sei dauk halo justisa, ema ne’e sei hatán nu’u sala laek; afoin sei fo mos fatin atu nia hetan tulun hodi tahan-án iha justisa laran.
11-02	La bele dadur ema ida, tan de’it nia hahalok e nia kluhak, uaihira buat ne’e be nia halo la monu hasoru ukun nasaun nian e rai seluk nian. Nune’e mos, la bele fo kastigu todan liu hahalok ne’e be nia halo duni.
12-00	Artigu 12
12-01	La bele halo naran buat ida hasoru ema nia moris, nia uma laran, iha nia uma kain, la bele loke let ema nia surat, la bele mos foti lia hasoru nia naran di’ak. Hasoru lia hirak ne’e, sei hetan tulun hosi rai ida nia ukun.
13-00	Artigu 13
13-01	Ema hotu bele la’o ba mai tuir nia hakarak, tur iha rai ne’e be hakarak, iha Nasaun ida laran.
13-02	Naran ema ida bele husik nia rain, nia nasaun; bele fila hikas ba rain, tuir nia hakarak.
14-00	Artigu 14
14-01	Uaihira ema ruma hetan susar atu moris hakmatek, bele buka fatin seluk e rai seluk.
14-02	La bele tuir dalan ida ne’e, uaihira nia hetan susar tan hahalok aat ne’e be nia halo, e tan hahalok nia halo hasoru ema seluk nia direitu.
15-00	Artigu 15
15-01	Naran ema ida sei iha rain ida, nasaun ida.
15-02	La bele hasai naran de’it ema ida hosi nia rain; la bele mos taka dalan uaihira ema ida hakarak ba hamutuk ho nasaun seluk.
16-00	Artigu 16
16-01	To’o ona otas, feto ka mane bele kaben, tur iha uma kain ida, hodi la hetan susar tan nia ema seluk, ema rai seluk e iha fiar seluk. Hanesan kabe na’in, uaihira fahe malu karik, sira na’in rua iha direitu hanesan.
16-02	Ema na’in rua la bele kaben uaihira sira lakohi moris hamutuk nu’u kabe na’in.
16-03	Uma kain ida hanesan knua e rai nia rin, tan ne’e, sei hetan tulun hosi reinu e hosi nasaun.
17-00	Artigu 17
17-01	Naran ema ida, mesak e hamutuk ho seluk, iha direitu atu iha sasán rasik.
17-02	La bele hasai let ema ida nia sasán.
18-00	Artigu 18
18-01	Ema hotu-hotu iha direitu atu hanoin tuir nia hakarak, moris tuir nia neon, tuir nia fiar; ne’e katak nia bele husik fiar ida hodi ba seluk, hodi mos haklaken nia fiar, haklaken mesak e hamutuk, iha fatin kles e fatin ksumik, hodi hanorin e hodi halo estilu tuir nia ukur.
19-00	Artigu 19
19-01	Ema ida-idak bele hateten, bele halo tuir nia hanoin, tan ne’e ema seluk la bele bandu; ema ida-idak bele simu, bele fo tada nia hanoin, iha naran fatin ida.
20-00	Artigu 20
20-01	Ema ida-idak bele halibur, harí klibur iha damen laran.
20-02	Ema ida la bele haruka ema seluk atu tama iha klibur ida laran.
21-00	Artigu 21
21-01	Naran ema ida bele haknauk iha nasaun nia serbisu, hodi serbisu rasik e tau ema seluk iha nia fatin.
21-02	Ema tomak iha direitu atu serbisu iha nasaun ida nia knar.
21-03	Povu nia hakarak hanesan nasaun ida nia rin; povu tomak sei hatudu, tuir nia hakarak, iha uain ba uain, hotu-hotu hanesan, ida la let, hodi hili ema ne’e be nia hakarak atu ukun nia rain.
22-00	Artigu 22
