00-00	Detlaraziun Universala di Dërć dles Porsones
00-01	Deache le reconescimënt dla dignité de düć i mëmbri dla comunité dla jënt y di medemi dërć inalienabli, é la fondamënta dla liberté, dla iustizia y dla pêsc tl monn;
00-02	deache la manćianza de reconescimënt y le desprijamënt di dërć dles porsones à portè pro a ać de barbaria, che ofënn la cosciënza dles porsones y deache al é gnü anunzié che n monn, olache les porsones à la liberté de parora y de religiun y la liberté da tëma y meseria é la majera aspiraziun dla porsona;
00-03	deache al va debojëgn da defëne i dërć dles porsones cun normes iuridiches a na moda che la porsona ne vëgnes nia sforzada da adorè la rebeliun sciöche ultimo meso cuntra la tirania y l’opresciun;
00-04	deache al va debojëgn da sostignì le svilup di raporć d’amizizia danter les Naziuns;
00-05	deache i popui dles Naziuns Unides à reconfermè tl Statut süa crëta ti dërć fondamentai dla porsona, tla dignité y tl valur dla porsona, tl’avalianza di dërć danter ël y ëra y à tut la dezijiun da promöie le progrès sozial y de mius condiziuns de vita te na majera liberté,
00-06	deache i Stać mëmbri s’à tut dant da miré, en colaboraziun cun les Naziuns Unides, al respet y al’osservanza universala di dërć dla porsona y dles libertês fondamentales;
00-07	deache na comprenjiun coletiva de chisc dërć y de chëstes libertês é de grandiscima importanza por realisé deplëgn chëstes oblianzes,
00-08	protlamëia la Reuniun Generala
00-09	chësta detlaraziun universala di dërć dles porsones sciöche ideal coletif da arjunje da düć i popui y dötes les Naziuns, a na moda che vigni porsona y vigni organn dla sozieté se sforzes, tignin tres amënt chësta Detlaraziun, da sostignì cun l’insegnamënt y l’educaziun, le respet de chisc dërć y de chëstes libertês, y da garantì tres mosöres nazionales y internazionales progressives, le reconescimënt universal y efetif y le respet danter i popui di Stać mëmbri y chi di teritori sotmetüs a süa iurisdiziun.
01-00	Articul 1
01-01	Dötes les porsones nasc lëdies y cun la medema dignité y i medemi dërć. Ares à na rajun y na cosciënza y mëss s’incuntè öna cun l’atra te n spirit de fraternité.
02-00	Articul 2
02-01	A vigni porsona ti spétel düć i dërć y dötes les libertês protlamà te chësta detlaraziun, zënza degöna desfarënzia porvia dla raza, dl corù dla pel, dl ses, dl lingaz, dla religiun, dl’opiniun politica o de n’atra sort, dla provegnënza nazionala o soziala, dla richëza, dla nasciüda o de d’atres condiziuns.
02-02	Ala medema manira ne pol gnì fat degöna desfarënzia por la posiziun politica, iuridica o internazionala dl paîsc o dl teritore de chël che la porsona fej pert, anfat sce chësc é independënt, sot a n’aministraziun de crëta, nia autonom o sotmetü a val’ sort de limitaziun de sovranité.
03-00	Articul 3
03-01	Vigni porsona à le dërt de vita, de liberté y de segurté dla porsona.
04-00	Articul 4
04-01	Degöna porsona ne po gnì tignida te stlavité o sorvidù; la stlavité y le comerz de stlâfs te bel anfat ći forma é proibis.
05-00	Articul 5
05-01	Degöna porsona ne po gnì sotmetüda a tortöra, tratamënć crödi, inumans o umilianć o puniziuns.
06-00	Articul 6
06-01	Vigni porsona à le dërt che al ti vëgnes reconesciü indlunch süa personalité iuridica.
07-00	Articul 7
07-01	Dötes les porsones é anfat dan la lege y à le dërt, zënza degöna desfarënzia, da gnì defenüdes dala lege ala medema manira. Dötes les porsones à le dërt da gnì defenüdes ala medema moda cuntra de vigni sort de descriminaziuns, che va cuntra chësta detlaraziun y cuntra vigni impiziamënt a na te’ descriminaziun.
08-00	Articul 8
08-01	Vigni porsona à le dërt de na poscibilité reala de recurs pro i tribunai statai competënć cuntra aziuns che violëia i dërć fondamentai che ti vëgn reconesciüs a vigni porsona dala Costituziun o dala lege.
09-00	Articul 9
09-01	Degöna porsona ne po gnì arestada, sarada ia o esiliada arbitrariamënter.
10-00	Articul 10
