00-00	Ristikanzan oigevuksien yhtehine deklaratsii
00-01	Huomivoh ottajen, ku kaikile ristikanzoin pereheh kuulujile ominazen arvontunnon da niilöin taza-arvozien da jagamattomien oigevuksien tunnustamine on vällyön, oigevuksen da yhtehizen rauhan perusteh; da
00-02	huomivoh ottajen, ku ristikanzan oigevuksien halveksindu da väheksindy suatettih varvartoimenpidoloih, kuduat nostatettih suuttumistu rahvaskunnan ičentunnos, da ku moizen muailman luadimine, kuduas rahvahil roihes sanan- da lujan uskon vällys da kuduas rahvas roitah vällät varavos da hiäs, on sanottu julgi kui ristikanzoin korgei tahto; da
00-03	huomivoh ottajen, ku ristikanzan oigevuksii vältämättäh pidäy puolistua zakonan vallal, ku ristikanzal ei pidäs nosta jälgimäi tiranijua da vuardamistu vastah; da
00-04	huomivoh ottajen, ku pidäy kannattua ystävällizii suhtehii eri kanzoin välil; da
00-05	huomivoh ottajen, ku Yhtistynnyzien Kanzukundien rahvas lujoitettih Ustuavas oma usko ristikanzan perustehellizih oigevuksih, ristikanzan persounallizuon arvoh da miehien da naizien yhtenarvozuoh da piätettih auttua sotsiualistu progressua da elaijan ololoin parandamistu suurembas vällyös; da
00-06	huomivoh ottajen, ku valdivot-jäsenet uskaldettih Yhtistynnyzien Kanzukundien Organizatsien yhtehizes ruavos auttua kaikkien mitkunnivoiččemistu da ristikanzan oigevuksien da perusvällyzien silmäl piendiä; da
00-07	huomivoh ottajen, ku nämien oigevuksien da vällyzien yhtehizel ellendämizel on ylen suuri merkičys tämän vellallizuon täyttämizekse,
00-08	Ylehine Assamblei,
00-09	sanou julgi tämän Ristikanzan oigevuksien yhtehizen deklaratsien tavoittehennu, kuduan täyttämisty vältämättäh pidäy tavoitella kaikil kanzoil sikse, ku jogahine ristikanzu da yhteiskunnan joga elin, tädä Deklaratsiedu alalleh silmäl pidäjen, pyrgiettäs opastamizen da tiijon levittämizen kauti auttamah nenien oigevuksien da vällyzien kunnivoittamistu, kanzallizien da kanzoinvälizien progressivizien pidoloin kauti autettas nenien oigevuksien da vällyzien yhtehisty da effektiivistu tunnustamistu da todevuttamistu kui Organizatsien valdivo-jäsenien, mugai niilöin kanzoin alovehel, kuduat ollah sen jurisdiktsien vallan al.
01-00	1. stat’t’u
01-01	Kai rahvas roittahes vällinny da taza-arvozinnu omas arvos da oigevuksis. Jogahizele heis on annettu mieli da omatundo da heil vältämättäh pidäy olla keskenäh, kui vellil.
02-00	2. stat’t’u
02-01	Jogahizel ristikanzal pidäy olla kai täs Deklaratsies julgi sanotut oigevukset da kai vällyöt, eroloi huolimata, oldahes net rodu, nahkan väri, sugupuoli, uskondo, poliittizet libo toizenmoizet uskot, rahvahalline libo sotsiualine roinduperä, omazus-, soslouvii- libo toizet tilat.
02-02	Paiči sidä, ei voi olla nimittumua eruo sen muan libo alovehen poliittizen, kanzoinvälizen libo oigevuksen stuatusan perustehel, kuduale kuuluu ristikanzu, sidä huolimata olgah se aloveh rippumatoi, huolenpivon alaine, vallanalaine libo kuitahto toizin omis oigevuksis puolendettu.
03-00	3. stat’t’u
03-01	Jogahizel ristikanzal on oigevus elaigah, vällyöh da persounallizeh koskemattomuoh.
04-00	4. stat’t’u
04-01	Nikedä ei sua pidiä orjannu libo vallanalazennu; orjien piendy da myöndy ollah kielletty kaikis muodolois.
05-00	5. stat’t’u
05-01	Nikedä ei sua muokata libo käyttiä julmii, ebägumannoloi libo hänen arvuo alistujii nakazaanieloi.
06-00	6. stat’t’u
06-01	Jogahizel ristikanzal, olgah häi hos kus, ollah oigevukset da juriidizet vellallizuot, häi voibi käyttiä nenii oigevuksii da täyttiä juriidizii vellallizuksii.
07-00	7. stat’t’u
07-01	Kai rahvas ollah taza-arvozet zakonan ies da jogahizel on oigevus, eroloi huolimata, taza-arvozeh oigevuksen puolistamizeh. Kaikil rahvahil on samanlaine oigevus samanarvozeh puolistamizeh mittumastahto tädä Deklaratsiedu rikkojas diskriminatsies da kuduastahto tämänmoizeh diskriminatsieh kuhkutandas.
08-00	8. stat’t’u
08-01	Jogahizel ristikanzal on oigevus kanzallizien toimivaldusuudoloin effektiivizeh oigevuksien järilleh suandah, ku konstitutsieh libo zakonah kirjutetut perusoigevukset olla rikottu.
09-00	9. stat’t’u
09-01	Nikedä ei sua arestuija, ottua kiini libo ajua iäres omavaldazesti.
10-00	10. stat’t’u
10-01	Jogahizel ristikanzal hänen oigevuksien da vellallizuksien miärittelemizekse da hänele azetetun pahanruadosyyttehen perustallizuon selvilesuandakse on oigevus tävvellizen tazaverdazuon perustehel sih, ku hänen dieluo kaččos julgi da kaikkii zakonanmugazuon vuadimuksii täyttäjes rippumatoi da tazapuoline suudo.
11-00	11. stat’t’u
11-01	Jogahizel ristikanzal, kuduadu viäritetäh pahanruavos, on oigevus olla viärättömänny sissäh, kuni hänen viäryön ei tovesteta zakonallizesti moizen julgizen suudodielon kaččelemizen perustehel, kuduan aigah hänele rodieu turvattu mahto puolistukseh.
11-02	Nikedä ei sua suudie pahanruavos mittumantahto ruavon luadimizen perustehel libo ruadamata olemizes, kuduat niilöin luadijes ei oldu pahanruadoloinnu kanzallizien libo kanzoinvälizien zakonoin mugah. Nakazaaniel sežo ei sua olla suurembi, migu se, kudai olis käytetty silloi, konzu pahanruado oli luajittu.
12-00	12. stat’t’u
12-01	Niken ei voi jouduo alazekse, ku hänen persounallizeh da perehelaigah segavuttas, omavaldazesti opittas kuovata hänen eländysija, kyzymätä lugiettas hänen korrespondentsiedu libo yritettäs alendua hänen kunnivuo da rikkuo mainehtu. Jogahizel ristikanzal oli oigevus suaha puolistustu zakonan mugah moizes segavumizes libo sen yrityksis.
13-00	13. stat’t’u
13-01	Jogahizel ristikanzal on vällyoigevus siirdyö da vallita ičelleh eländykohtu tietyn valdivon rajois.
13-02	Jogahizel ristikanzal on oigevus lähtie kuduastahto muas, luguh ottajen oma mua, da kiändyö järilleh.
14-00	14. stat’t’u
14-01	Jogahizel ristikanzal on oigevus eččie turvupaikkua toizis mualois da käyttiä sidä turvupaikkua.
14-02	Tädä oigevustu ei sua käyttiä tagahajamizes, ku toven sen perustehennu on ebäpoliittine pahanruado, libo tego, kudai ei sovi Yhtistynnyzien Kanzukundien Organizatsien tavoittehih da printsippoih.
15-00	15. stat’t’u
15-01	Jogahizel ristikanzal on oigevus kanzallizuoh.
15-02	Nikes ei sua vägivaldazesti ottua kanzallizuttu, nikel ei ole oigevustu vägivaldazesti muuttua kanzallizus.
16-00	16. stat’t’u
16-01	Täyzi-igäzikse tulluzil miehil da naizil on oigevus ilmai mittumiitahto rajoituksii rovun, kanzallizuon libo uskondon perustehel mennä kirjoih da perustua oma pereh. Heil ollah yhtenmoizet oigevukset kirjoihmennes, kirjoihmendyy yhtes eläjes da erottuu.
16-02	Kirjoihmenendy voibi tapahtuo vai silloi, konzu mollembat kirjoih menijät tävvelleh da omal mieleh tahtotah sidä.
16-03	Pereh on yhteiskunnan luonnolline piäsolu da sil on oigevus puolistamizeh yhteiskunnan da valdivon puoles.
17-00	17. stat’t’u
17-01	Jogahizel ristikanzal on oigevus omistua omazuttu kui yksinäh, mugai yhtes toizienke.
17-02	Nikel ei sua vägivaldazesti kiškuo hänen omazuttu.
18-00	18. stat’t’u
18-01	Jogahizel ristikanzal on mielien, ičentunnon da uskon vällyön oigevus; sih oigevukseh kuuluu vällys muuttua oma usko da mielet da välly kannattua omua uskuo libo mielii kui yksinäh, mugai yhtes toizienke, julgizesti libo yksittäin opastujes, jumalanpalvelukses da uskondollizii da ritualutoimituksii pidäjes.
19-00	19. stat’t’u
19-01	Jogahizel ristikanzal on mielien vällyön da niilöin sanondan oigevus; sih oigevukseh kuuluu vällys estiettömästi kannattua omii mielii da vällys eččie, suaja da levittiä informatsiedu da idejoi kaikin tavoin da valdivollizii rajoloi huolimata.
20-00	20. stat’t’u
20-01	Jogahizel ristikanzal on rauhallizien kerähmölöin da assotsiatsieloin oigevus.
20-02	Nikedä ei sua vägehes potakoija liittymäh mittumahtahto assotsiatsieh.
21-00	21. stat’t’u
21-01	Jogahizel ristikanzal on oigevus ottua ozua oman muan haldivoičendah kohtinazesti libo vällästi vallittuloin edustajien kauti.
21-02	Jogahizel ristikanzal on valdivollizeh palveluh tazaverdazen piäzyn oigevus omas muas.
